"id","subc_id","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
4058486834,509708645,9.7507,7.4,30.2814,623.6671,22.9921,-1.4086,24.4007,5.7914,13.1743,17.9507,1.7914,961.8421,104.7779,58.0478,14.1,281.8857,206.9379,227.4093,270.2214
4058592641,507540377,9.4322,7.0385,28.2873,651.1687,23.0901,-1.7691,24.8592,17.8676,4.9542,17.8676,1.1393,591.8169,63.3067,34.2101,19.389,183.2665,115.8653,183.2665,131.4361
4058584871,509302192,10.3095,7.6722,30.245,654.0545,24.0992,-1.2443,25.3435,17.1998,6.1036,18.8278,1.9528,765.0046,73.8967,50.0782,11.8058,216.3526,164.4363,211.4191,177.1868
4058490398,508239837,7.7887,7.1192,29.7837,613.9926,20.7728,-3.1465,23.9193,14.1854,3.4397,15.7343,-0.0571,797.9538,80.4348,50.6743,14.0671,231.038,168.0012,226.3821,188.047
4058511838,507470393,9.6701,7.0852,27.7425,675.0481,23.5643,-1.8765,25.4407,18.379,5.1362,18.379,1.0664,566.986,62.0481,34.4548,19.1924,177.1779,112.7251,177.1779,129.0908
4058501821,507094152,9.4494,7.0132,27.3725,683.0974,23.5046,-2.0892,25.5938,18.2621,4.8497,18.2621,0.75,531.5044,63.1037,31.3366,24.5656,180.7568,101.5273,180.7568,110.8004
4058474084,508545942,9.9496,6.9138,30.2683,586.2291,22.3711,-0.5256,22.8967,3.583,5.8635,17.5131,2.4384,1056.6049,100.8456,64.5659,10.8431,289.6059,229.8491,277.1725,270.1126
4058634984,508280090,7.9878,7.1853,29.8353,618.8065,21.0537,-2.987,24.0407,14.4468,3.6485,15.997,0.0829,775.7141,76.1848,48.9897,14.0052,224.8402,163.6225,219.2648,181.8749
4058564858,508293490,10.4161,7.1,31.4,565.9622,22.7182,0.15,22.5682,17.75,6.4161,17.75,3.15,808.2446,77.2,47.5661,11.7,222.9619,167.6961,222.9619,197.8262
4058634032,508490965,8.4178,7.4829,30.0601,641.4564,21.9108,-2.9645,24.8753,15.0927,2.4954,16.7161,0.2138,690.3089,72.462,42.7169,15.3816,205.3866,146.6995,198.4021,151.2643
4058495259,508366579,7.5475,6.6224,28.499,598.1255,19.9616,-3.2693,23.2308,1.1405,4.9312,15.2447,-0.1224,940.9374,93.9577,57.9473,12.0727,273.6794,205.8255,231.1823,256.216
