"id","subc_id","c10","c20","c30","c40","c50","c60","c70","c80","c90","c100","c110","c120","c130","c140","c150","c160","c170","c180","c190","c200","c210","c220"
4058486834,509708645,0.0892,0,0.0428,0,0,0,0,0,0,0.5428,0,0,0.0072,0,0,0,0,0,0.318,0,0,0
4058592641,507540377,0.4833,0,0.0137,0.0011,0,0.0207,0.3059,0,0.0461,0.0285,0.0514,0,0.0347,0,0,0,0,0,0.014,0,6e-04,0
4058584871,509302192,0.2409,0,0,0.0338,0,0.2106,0.0469,0,0.0837,0.0378,0,0,0.008,0,0,0,0,0,0.3383,0,0,0
4058490398,508239837,0.5606,0,0.1086,0.0063,0,0.1209,0,0,0,0,0,0,0.1287,0,0,0,0,0,0.0749,0,0,0
4058511838,507470393,0.2381,0,0.0234,0.0108,0,0.0142,0.4751,0,0.0418,0.0453,0.0056,0,0.1051,0,0,0,0,0.0043,0.0238,0,0.0124,0
4058501821,507094152,0.9658,0,0.0033,0,0,0,0,0,0,0,0,0,0.0209,0,0,0,0,0,0.0098,0,2e-04,0
4058474084,508545942,0,0,0,0.0214,0,0.1106,0.0525,0,0.7154,0.0497,0,0,0,0,0,0,0,0,0.0505,0,0,0
4058634984,508280090,0.6971,0,0.0542,0,0,0.12,0,0,0.0139,0.0014,0,0,0.0411,0,0,0,0,0,0.0723,0,0,0
4058564858,508293490,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0
4058634032,508490965,0.8428,0,0.0035,7e-04,0,0.0259,0.0012,0,0.0038,0.0067,0,0,0.0319,0,0,0,0,0,0.0807,0,0.0027,0
4058495259,508366579,0.0372,0,0.0938,0.0017,0,0.0727,0.1493,0,0.1237,0.1958,0.0268,0,0.2751,0,0,0,0,0,0.024,0,0,0
4058564688,507417958,0.5615,0,0.0195,0,0,0.017,0.0041,0,0.0184,0.009,0,0,0.251,0,0,0,0,0.0172,0.1023,0,0,0
4058520436,506510279,0.5856,0,0.0262,0.0029,0,0.0445,0.0972,0,0.029,0.0308,0.0068,0,0.1413,0,0,0,0,0.0036,0.0136,0,0.0186,0
4058488388,507684639,0.3625,0,0.1246,0.0295,0,0.0281,0.0229,0,0.0092,0.0525,0,0,0.1789,0,0,0,0,0,0.1919,0,0,0
4058464700,507880612,0.631,0,0.032,0.0119,0,0.0544,0.0524,0,0.0197,0.0249,0.0011,0,0.0676,0,6e-04,0,0,1e-04,0.0997,0,0.0045,0
4058509672,509007636,0.3281,0,0.1369,0.002,0,0.3641,0,0,0.0523,0.0377,0.0086,0,0.0287,0,0,0,0,0,0.0417,0,0,0
4058579778,508556173,0.2671,0,0.0436,0.0052,0,0.0107,0.4104,0,0.0217,0.0707,9e-04,0,0.1133,0,0,0,0,0,0.0479,0,0.0085,0
4058496706,507777524,0.6861,0,0.0092,0.0023,0,0.064,0.0928,4e-04,0.0442,0.0147,0,0,0.0279,0,3e-04,0,0,0,0.0537,2e-04,0.0041,0
4058574059,508263368,0.2793,0,0.0632,0.005,0,0.1102,0.1224,0,0.1005,0.0904,0.0048,0,0.1699,0,0,0,0,1e-04,0.0503,0,0.0037,0
4058609507,508583916,0.9158,0,0,0,0,0.0167,0,0,0,0.0034,0,0,0.02,0,0,0,0,0,0.044,0,0,0
4058633101,506292274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058477904,506769097,0.2266,0,0.028,0.0102,0,0.2226,0.0402,0,0.0333,0.0521,0,0,0.1219,0,0,0,0,0.0966,0.0163,0,0.1523,0
4058578509,507917647,0.5565,0,0.0817,0.0012,0,0.0176,0.0732,0,0.0055,0.075,0,0,0.0814,0,0,0,0,0,0.1079,0,0,0
4058602686,507586747,0,0,0,0,0,0,0.8707,0,0.1293,0,0,0,0,0,0,0,0,0,0,0,0,0
4058568580,507326871,0.5981,0,0.02,0.0049,0,0.0956,0.0953,0,0.0147,0.0175,0,0,0.0357,0,1e-04,0,0,1e-04,0.1111,1e-04,0.0069,0
4058494382,508981430,0.283,0,0,0,0,0,0,0,0,0,0,0,0.0332,0,0,0,0,0,0.6838,0,0,0
