"id","subc_id","awcts_min","awcts_max","awcts_mean","awcts_sd","clyppt_min","clyppt_max","clyppt_mean","clyppt_sd","sndppt_min","sndppt_max","sndppt_mean","sndppt_sd","sltppt_min","sltppt_max","sltppt_mean","sltppt_sd","wwp_min","wwp_max","wwp_mean","wwp_sd","orcdrc_min","orcdrc_max","orcdrc_mean","orcdrc_sd","phihox_min","phihox_max","phihox_mean","phihox_sd","bldfie_min","bldfie_max","bldfie_mean","bldfie_sd","cecsol_min","cecsol_max","cecsol_mean","cecsol_sd","crfvol_min","crfvol_max","crfvol_mean","crfvol_sd","acdwrb_min","acdwrb_max","acdwrb_mean","acdwrb_sd","bdricm_min","bdricm_max","bdricm_mean","bdricm_sd","bdrlog_min","bdrlog_max","bdrlog_mean","bdrlog_sd","histpr_min","histpr_max","histpr_mean","histpr_sd","slgwrb_min","slgwrb_max","slgwrb_mean","slgwrb_sd"
4058503931,507804526,37,38,37.7925,0.4056,11,13,12.0755,0.4698,56,66,61.2453,2.4177,22,33,26.6792,2.3853,14,16,14.8302,0.72,12,22,18,2.599,57,63,59.0943,0.8958,1508,1532,1522.3396,7.0736,9,12,10.9434,0.6845,8,10,8.8491,0.6558,1,1,1,0,200,200,200,0,4,18,10.4151,3.6829,4,8,6.7358,0.8276,0,0,0,0
4058610695,508082108,38,40,38.8265,0.7957,15,19,16.9184,0.9655,34,42,38.5918,1.8397,42,47,44.449,1.2707,19,21,20.6122,0.5465,12,26,18.1327,2.9645,49,57,53.0714,2.2913,1457,1529,1492.7144,24.8025,10,14,12.3776,0.9531,15,21,18.1939,1.496,1,3,2.1633,0.6499,200,200,200,0,12,31,21.3571,4.1973,1,4,2.6837,0.9324,0,0,0,0
4058496706,507777524,39,40,39.5714,0.4949,19,23,20.1429,1.2454,47,53,51,2.4495,28,33,29.2857,1.7496,19,20,19.1429,0.3499,12,12,12,0,64,66,65.2857,0.8806,1496,1512,1501.5714,6.8422,15,18,17.1429,1.1249,9,11,9.5714,0.7284,1,1,1,0,200,200,200,0,4,8,6.8571,1.5518,2,3,2.5714,0.4949,0,0,0,0
4058505990,506799932,38,40,39.037,0.5543,5,8,6.9012,0.9763,74,81,78.6049,1.7616,12,18,14.4074,1.3405,8,11,9.2716,0.8751,14,29,21.5062,4.2021,59,63,60.7531,1.1919,1438,1503,1466.0616,13.8852,7,10,8.7284,0.9688,4,6,5.0247,0.3505,1,1,1,0,200,200,200,0,0,5,1.5679,1.3603,4,8,5.3457,0.9184,0,0,0,0
4058613271,506463635,40,41,40.4615,0.4985,7,10,8.3846,1.003,76,81,79.3077,1.3803,12,13,12.6154,0.4865,10,12,10.1538,0.5329,36,50,43,2.7456,56,59,57.3846,0.7378,1403,1419,1412.8462,3.6762,10,12,10.2308,0.5756,6,8,6.3077,0.7216,1,1,1,0,200,200,200,0,0,0,0,0,6,10,7.8462,1.5113,0,0,0,0
4058628671,507763324,38,38,38,0,18,20,18.5,0.723,33,42,40.3182,2.5653,40,47,41.3182,1.8681,19,20,19.0455,0.2083,7,12,9.5455,1.9709,62,67,64.9091,1.5641,1535,1541,1537.591,1.7493,10,11,10.6818,0.4658,7,8,7.2727,0.4454,0,1,0.8636,0.3432,200,200,200,0,7,9,8.1364,0.7565,3,7,4.3182,1.0174,0,0,0,0
4058552963,506298975,37,39,37.9048,0.3869,7,10,8.7619,0.938,76,79,77.3016,1.2297,13,15,13.7937,0.7593,9,11,10.254,0.6659,23,36,27.9841,3.7097,58,60,59.3968,0.7462,1482,1514,1500.2063,9.4771,7,11,9.1746,1.1484,7,10,8.4603,0.6625,1,1,1,0,200,200,200,0,0,6,1.9524,1.8553,5,8,6.4762,0.6389,0,0,0,0
4058609807,508748682,38,38,38,0,15,16,15.7,0.4583,41,44,42,1.1832,40,44,42.5,1.2845,19,20,19.5,0.5,9,9,9,0,61,63,62,0.4472,1519,1524,1522.5,1.8028,13,14,13.6,0.4899,15,18,16.7,1.005,1,1,1,0,200,200,200,0,10,13,10.8,0.9798,2,3,2.1,0.3,0,0,0,0
4058601973,506612201,38,40,39.375,0.5995,9,13,11,1.1726,68,73,70.0625,1.2975,18,19,18.875,0.3307,12,14,13.4375,0.6092,18,42,32.0625,10.0029,58,61,59.875,1.0533,1465,1506,1478.5625,13.472,13,15,14.3125,0.768,8,10,9.25,0.559,1,1,1,0,200,200,200,0,0,2,1.25,0.559,7,9,8.625,0.7806,0,0,0,0
4058565704,506874965,38,41,39.7805,0.5185,5,8,6.2927,0.9172,78,88,83.3171,2.975,7,14,10.2195,1.9818,7,10,8.6829,1.0226,15,30,21.4634,4.4453,52,54,52.6098,0.6199,1417,1485,1431,14.7202,7,11,8.4634,1.0615,10,12,10.7561,0.7252,2,3,2.1463,0.3534,200,200,200,0,14,21,16.6829,2.2571,4,7,5.1951,0.7061,0,0,0,0
4058477904,506769097,38,39,38.5556,0.4969,12,15,13.4444,1.3426,60,62,61.1111,0.8749,25,25,25,0,15,18,16.2222,1.3147,16,29,21,5.7735,67,69,68.1111,0.8749,1508,1513,1510.5555,1.8922,15,22,17.3333,3.2998,8,10,8.8889,0.8749,0,1,0.3333,0.4714,200,200,200,0,0,7,2.3333,3.2998,4,6,4.7778,0.7857,0,0,0,0
4058634032,508490965,39,41,40.0714,0.7035,22,25,24,1.2536,22,30,25.6429,3.0025,47,53,50.0714,2.298,21,22,21.7143,0.4518,18,25,21.2143,2.3658,68,71,69.3929,0.8594,1479,1535,1499.0356,19.9955,14,18,16.4286,0.7284,12,14,12.9286,0.8835,0,0,0,0,200,200,200,0,4,8,6.1786,1.5596,1,5,2.6786,0.7585,0,0,0,0
4058519641,507207375,38,39,38.5429,0.4982,12,17,14.6286,1.2892,55,67,60.9619,2.6437,20,29,24.4667,2.1428,13,17,15.2,0.7856,13,25,17.7333,2.7543,62,66,63.4952,0.8062,1489,1518,1507.1333,7.3602,11,13,12.6286,0.5733,6,9,7.1238,0.9018,1,1,1,0,200,200,200,0,3,9,5.4,1.7707,2,8,3.5238,1.3599,0,0,0,0
4058594382,507640030,38,41,39.2143,0.8874,18,25,20.9762,1.9699,21,45,34.9286,6.2465,37,55,44.2857,5.3018,19,22,20.5,0.9574,7,10,8.4286,0.8492,64,72,67.6667,2.3971,1484,1534,1509.7144,15.9393,13,16,14.2381,0.9209,9,11,9.2381,0.526,0,1,0.3333,0.4714,200,200,200,0,1,6,3.4524,1.4508,0,4,3.0952,0.9209,0,0,0,0
4058501821,507094152,43,43,43,0,19,24,20.6939,1.0143,44,56,48.2653,3.25,25,35,31.3878,2.5937,20,23,21.4694,0.9498,19,32,22.4694,2.865,70,73,71.6531,0.6866,1395,1410,1404.9592,3.5741,23,28,25.3469,1.3931,6,8,6.5714,0.8806,0,0,0,0,200,200,200,0,1,7,5.9184,1.1399,3,6,4.1224,0.9177,0,0,0,0
