"id","subc_id","awcts_mean","clyppt_mean","sndppt_mean","sltppt_mean","wwp_mean","orcdrc_mean","phihox_mean","bldfie_mean","cecsol_mean","crfvol_mean","acdwrb_mean","bdricm_mean","bdrlog_mean","histpr_mean","slgwrb_mean"
4058486834,509708645,38.6328,18.3943,40.6686,41.1443,19.6664,12.1671,57.5693,1506.4915,11.07,18.3136,1.02,200,11.9015,2.2607,0
4058592641,507540377,38.4628,10.2002,71.5265,18.2588,11.5971,15.6984,61.9854,1496.1051,9.9917,8.5738,1.1475,199.8754,8.0893,4.1302,0
4058584871,509302192,37.8535,15.9377,56.8719,27.192,15.9602,10.6127,62.875,1531.8975,11.4197,9.1792,0.8725,200,12.9831,2.959,0
4058490398,508239837,40.4754,26.9661,26.4941,46.6111,22.744,14.0592,65.5236,1493.27,16.5549,17.7615,0.5528,199.9691,13.9003,1.0833,0
4058511838,507470393,38.0465,6.6981,82.469,10.9179,8.4653,17.2662,56.9894,1491.3412,8.1874,8.0637,1.778,199.5417,10.5165,4.2871,0
4058501821,507094152,41.9399,19.6115,53.1524,27.2481,19.0357,23.8965,70.3152,1426.6686,19.8585,6.0809,0.0937,200,3.0982,3.4649,0
4058474084,508545942,38.5628,20.1216,42.5074,37.4509,20.1977,14.253,51.5392,1506.0076,11.381,13.7926,2.4608,199.2056,27.9676,0.8563,0
4058634984,508280090,40.0815,26.6152,27.0144,46.3664,22.3631,10.3229,66.2403,1504.4496,15.4664,16.9499,0.4135,200,11.3062,1.3399,0
4058564858,508293490,36.7678,10.4613,65.2173,24.3036,13.3869,6.4405,58.5536,1539.9911,9.8512,6.2768,1,200,5.6458,4.1458,0
4058634032,508490965,40.1626,25.6154,24.0949,50.2846,22.0182,12.0201,69.6299,1503.9708,15.6905,13.4207,0.0941,200,10.9143,1.9643,0
4058495259,508366579,41.2088,21.112,36.1905,42.7149,21.6701,22.3701,55.818,1434.1847,13.6706,22.4138,1.7355,199.7924,18.2907,2.7051,0
4058564688,507417958,39.2362,18.323,37.3474,44.3489,19.8391,17.3637,64.2604,1501.2853,13.234,11.0485,0.7309,200,8.9724,3.918,0
4058520436,506510279,38.24,12.8366,63.2597,23.882,14.5656,30.4551,64.6688,1513.9676,12.7892,8.5229,0.7832,199.9997,6.3196,3.8505,0
4058488388,507684639,38.122,11.6769,61.8754,26.4895,14.5059,17.7854,58.5313,1504.2287,10.2698,9.0385,1.1194,199.9991,7.4199,5.6142,0
4058464700,507880612,38.5845,18.9529,39.4574,41.6119,19.1177,13.0972,62.5453,1519.2991,12.3515,10.6434,0.9042,199.9178,12.8057,2.9744,0
4058509672,509007636,39.029,24.717,30.5268,44.8311,21.6954,10.1573,60.8308,1523.3557,13.3045,18.6028,1.0559,200,18.2974,1.3347,0
4058579778,508556173,40.0403,19.0429,41.7294,39.253,20.0612,16.0465,58.1287,1467.588,12.7225,19.6505,1.5228,199.8897,15.7281,1.9521,0
4058496706,507777524,40.0583,21.0522,31.1653,47.8005,20.9619,15.6945,66.232,1487.5922,14.7309,13.0942,0.5886,199.5443,11.8873,2.1452,0
4058574059,508263368,39.7207,20.6312,35.9476,43.4546,21.0452,15.8741,58.6727,1484.6697,13.6759,19.4228,1.4295,199.6392,15.1707,1.9154,0
4058609507,508583916,38.7759,22.3974,22.6728,55.0155,21.2471,6.0844,66.7778,1535.8549,14.1134,12.6934,0.4844,200,7.6344,0.8166,0
4058633101,506292274,39.1433,20.2973,51.6756,28.0867,17.9293,30.3538,65.6713,1504.1243,11.7664,9.965,0.7311,200,9.3457,4.6367,0
4058477904,506769097,39.6635,14.509,58.6133,26.8493,17.6448,52.4354,65.5391,1479.0557,19.5625,8.9932,0.6739,200,10.1461,4.8856,0
4058578509,507917647,37.1527,10.3935,70.9514,18.6602,11.9546,11.0605,57.3729,1528.0045,9.2598,7.1215,1.226,200,7.2339,5.3443,0
4058602686,507586747,37.8225,5.0391,78.2797,16.916,9.17,19.3431,54.7002,1492.7019,7.0408,14.1164,2.0386,200,18.7536,3.2329,0
4058568580,507326871,39.7325,20.1175,33.3382,46.5502,20.4459,14.6343,64.6116,1491.2289,13.4892,12.5019,0.7246,199.4584,12.9893,2.5025,0
4058494382,508981430,39.9761,24.0812,36.5048,39.531,20.8488,11.8005,70.3179,1506.4578,15.0176,12.1977,0,200,8.9312,1.7391,0
4058550362,507806698,38.1646,10.4429,62.5309,27.1137,14.426,21.4316,56.3727,1497.7723,10.2969,10.2966,1.6005,199.9984,9.2882,5.4693,0
4058565704,506874965,39.7805,6.2927,83.3171,10.2195,8.6829,21.4634,52.6098,1431,8.4634,10.7561,2.1463,200,16.6829,5.1951,0
4058494171,508815138,39.1615,20.4791,36.5263,43.0344,20.7831,14.2814,58.6976,1501.673,13.214,18.667,1.415,199.397,15.6163,1.873,0
4058515082,506711780,39.5043,7.9267,77.941,14.1004,10.5557,39.6635,56.3586,1448.4364,10.8366,7.7008,1.4942,200,3.9785,10.4133,0
4058628671,507763324,38.4088,22.2332,36.6655,41.1973,20.184,12.2665,64.772,1536.4652,12.6381,9.3351,0.6779,200,14.4547,3.2106,0
4058531385,506867212,38.9911,16.694,49.9769,33.3493,17.4337,13.8752,61.6974,1499.1314,12.7773,13.1842,1.1136,199.7724,10.7526,2.8118,0
4058583314,508423123,40.6436,29.0947,30.6306,40.1338,21.9556,14.057,72.4374,1500.5539,16.5393,10.4028,0.0201,200,10.4424,1.679,0
4058452973,506438847,39.1291,7.9811,78.7659,13.2617,10.0045,40.3394,55.9944,1459.0193,8.9927,8.833,1.6689,199.9992,7.2509,7.4753,0
4058504946,509118377,39.8977,16.5371,44.191,39.2091,19.9682,15.3788,53.283,1459.4032,13.5011,20.4813,2.1945,199.9249,17.9164,1.5305,0
4058546109,507091770,41.6925,19.2933,54.7776,25.9526,18.2904,22.516,70.2422,1431.5379,18.4184,5.8274,0.1339,200,2.875,3.4079,0
4058505429,508971884,38.987,21.5735,32.7993,45.6722,21.1031,11.0207,60.7938,1514.2496,13.384,16.763,1.0293,200,13.6725,1.6064,0
4058549629,506539304,38.4846,15.8,54.4335,29.8317,16.7299,30.8258,64.1209,1513.9066,10.5484,8.5477,0.9956,200,9.6081,3.0513,0
4058607842,507193312,39.4866,19.7421,33.6089,46.677,20.452,14.7752,62.4004,1495.5223,13.3434,14.9563,0.9789,199.3897,14.1358,2.5223,0
4058553432,507829419,43.5074,13.916,47.6663,38.3436,20.2404,30.2022,51.8963,1336.5944,15.4077,22.1931,2.7045,191.7302,30.9964,2.6962,0
4058505990,506799932,38.5059,6.2471,81.578,12.2308,8.5953,22.4991,57.6711,1478.0433,8.1133,5.8385,1.4678,200,8.0035,5.6859,0
4058552437,506603813,37.5254,10.8198,68.6581,20.5696,12.5916,26.0575,60.5706,1522.576,9.579,8.4055,1.0716,200,7.2029,6.6367,0
4058532561,508658416,40.3121,19.7896,38.2968,41.9238,20.5985,13.1806,60.9865,1465.6567,13.1712,17.8648,1,200,17.0061,2.3344,0
4058485388,508604480,39.8434,26.0605,22.3677,51.6312,22.0972,12.8862,70.7427,1518.1284,16.3666,12.4546,0,200,8.4443,1.3052,0
4058461558,507225030,40.2086,14.9969,61.7992,23.1948,15.6766,18.2285,65.8512,1459.645,14.8021,9.4582,0.6269,200,8.6621,2.1594,0
4058613271,506463635,39.6916,10.7731,72.6664,16.553,12.1465,35.7172,57.9444,1449.9341,10.4635,8.637,1.1508,200,6.5679,7.9813,0
4058609029,507762112,38.5874,10.4296,71.6152,17.9398,11.3945,10.5811,63.0557,1494.0538,9.588,8.8055,1.0402,200,8.2073,3.0283,0
4058488024,507937479,37.7122,7.1478,78.278,14.5441,9.343,13.5942,56.5585,1502.4271,7.2649,9.1442,1.8288,199.0931,15.7019,3.8645,0
4058576975,508180265,38.1913,17.0872,48.2757,34.742,17.8868,11.1231,64.0306,1528.3048,12.2784,9.5216,0.988,200,8.489,3.1589,0
4058453117,506404415,38.6118,15.0269,57.2071,27.812,15.7842,30.0562,63.9627,1505.5009,10.3706,9.3992,0.9621,200,11.6308,5.0527,0
4058526033,506810809,38.3829,10.6517,67.4357,21.9435,12.9239,18.8649,60.5799,1496.9287,10.1951,8.0354,1.2083,199.9993,5.6354,4.7425,0
4058529294,508444225,38.8498,20.5735,31.002,48.4538,20.6593,9.4526,66.3583,1526.0316,14.6027,11.5303,0.5627,199.9769,13.8026,1.5552,0
4058503442,507509850,38.069,18.7973,31.3647,49.9037,20.507,11.2437,59.4699,1536.2179,12.1296,14.6014,1.1019,200,11.6422,1.9623,0
4058505941,508617193,40.6046,19.8312,40.596,39.6063,20.8243,22.8302,54.9826,1446.8631,12.7687,23.4056,1.8895,197.4361,21.522,2.2614,0
4058551824,506438607,38.1756,14.9482,58.8488,26.2374,15.481,27.2704,64.1202,1519.2195,10.8316,8.9019,0.8698,200,10.1569,4.5819,0
4058582701,508665800,41.9548,18.3926,43.5693,38.0738,20.7241,28.5837,56.442,1402.5431,14.4329,22.0982,1.8029,197.8915,19.1629,1.9157,0
4058609807,508748682,38.9591,17.0431,43.038,39.9494,20.1529,9.561,58.4432,1494.9933,14.9918,16.7906,1.2064,200,13.2535,1.9619,0
4058601973,506612201,39.119,8.0256,77.0313,14.9374,10.5408,35.1367,57.232,1462.1322,10.0462,8.4543,1.2913,200,4.8876,9.1591,0
4058528046,508428255,39.634,18.8582,38.4408,42.7303,20.1415,13.1967,60.9988,1485.1714,13.0742,16.9129,1.1556,199.9687,14.6287,2.2131,0
4058476680,507799687,38.1644,10.4924,69.5047,20.0272,12.2325,10.4203,61.0788,1504.8229,10.0027,8.5196,1.2409,200,9.5502,2.8462,0
4058558992,506571515,40.7961,8.2822,76.7454,14.9293,11.3256,47.5695,57.1436,1410.155,12.498,8.6833,1.299,199.9999,3.2646,9.4792,0
4058557790,508039386,37.8246,9.6081,71.5997,18.7727,11.5233,10.6445,59.421,1510.7248,9.4249,8.5426,1.4598,199.8081,12.7258,3.968,0
