"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","strahler","length","cum_length","out_dist","spi_min","spi_max","spi_mean","spi_sd","sti_min","sti_max","sti_mean","sti_sd","cti_min","cti_max","cti_mean","cti_sd"
4058503931,507804526,44.3,51.2,47.9038,1.9122,0.0053,231.2154,47.9662,93.7104,6,890.2454,27484.5,309342.88,0,7530,931.9811,1954.8608,1,596,48.8491,118.2719,-230062640,995552100,102211070,434021600
4058610695,508082108,244.9,309.8,258.251,18.1427,0.0053,253.473,56.8395,105.6254,6,1427.677,37207.082,459724.1,0,47428,6201.0713,13713.156,0,8833,1078.2551,2402.1995,-351285700,956998660,23686526,429690600
4058496706,507777524,58.3,62.8,61,1.7889,0.0053,3877.187,1107.775,1751.5201,8,201.7847,171721.75,421550.2,0,82767,22320.143,35377.344,4,753,203,290.6962,-196660690,1222885100,244696860,617447300
4058505990,506799932,13.8,17.1,15.3136,0.9153,0.0051,10.9387,2.4753,4.4727,4,1370.6412,8082.285,160503.03,0,199,36.5309,66.8906,0,77,7.6914,12.7334,-169305060,692702660,82561424,321189660
4058613271,506463635,17.5,19.6,18.3308,0.6591,0.0051,25.2647,5.7823,10.5294,5,323.2464,8864.499,81702.86,0,491,87,163.3241,1,82,12.3846,21.0733,-128756120,768381800,128267590,342591900
4058628671,507763324,75.2,85.1,78.8818,2.4888,0.0053,17.1831,3.899,6.9037,4,479.937,11172.73,295492.5,0,441,81.8636,143.4229,3,144,36.5,39.1962,-213503680,713777600,81094264,344071620
4058552963,506298975,8.1,18.6,11.7571,2.9491,0.005,65.4341,8.9794,21.5223,5,646.0982,19345.385,113883.336,0,1482,171.9841,422.262,0,191,23.3492,41.8099,-186969820,834937900,72059890,340546080
4058609807,508748682,416.4,429.3,420.62,3.5983,0.0054,16.7003,4.3437,6.6928,3,219.6356,7881.663,657824.75,0,411,120.3,181.6293,7,204,79,55.4166,-220617280,652093000,99384944,350070080
4058601973,506612201,3,6.1,3.9188,0.9295,0.0052,134.9668,33.7068,58.2976,5,326.5849,28151.45,14004.936,0,2954,561.5625,1001.8063,1,210,31.625,55.2221,-169160110,925689800,218770880,414197860
4058565704,506874965,50.7,80,64.9585,7.7658,0.0052,0.4083,0.0802,0.1178,2,749.49,913.6784,386646.72,0,33,5,8.1928,5,271,62.2927,58.9875,-328688200,231974000,-99166496,163034050
4058477904,506769097,1.7,17.4,9.9286,6.6137,0.0051,167.0552,20.49,46.0895,4,111.3635,14410.149,126295.85,0,3859,450.2857,1024.0717,1,258,59.2857,74.9385,-194094530,888636350,133523510,405279230
4058634032,508490965,259.3,267.5,262.3429,2.5936,0.0054,239.043,56.7835,99.1918,6,402.0589,34814.664,595265,0,6170,1151.893,2064.6936,2,680,70.25,141.8703,-208046460,989274370,161094850,451333660
4058519641,507207375,45.5,47.3,46.3762,0.5165,0.0052,3008.786,562.1835,1162.7065,8,1630.9271,125553.14,238419.06,0,51210,7372.514,15361.1045,0,386,27.219,69.7018,-140023890,1258880300,177789340,513908580
4058594382,507640030,75.6,93.5,80.2143,4.6134,0.0053,100.3145,16.6625,36.5311,5,504.0212,29647.941,469482.1,0,3208,403.6905,929.2753,2,456,64.5476,110.5885,-231052670,914356100,58838380,380124580
