"id","subc_id","elev_mean","flowpos_mean","X.column.","length","X.column...7","out_dist","spi_mean","sti_mean","cti_mean"
4058452973,506438847,34.8514,2.2599,NA,427.7106,NA,93673.825,42.3457,12.2028,19534822.8074
4058453117,506404415,48.919,1.209,NA,412.5396,NA,114096.0473,24.8222,21.264,-14886207.7097
4058461558,507225030,41.8855,0.4651,NA,376.2024,NA,443230.7306,10.9184,20.1521,-19379438.8361
4058463558,508189250,530.715,2.4365,NA,422.5887,NA,496105.1698,221.0465,331.4555,-155765602.7146
4058464700,507880612,133.4967,13.9361,NA,445.4819,NA,403020.6779,317.2779,41.8241,2832987.0025
4058465357,507001498,66.2679,8.6694,NA,430.0908,NA,426110.6329,219.4942,32.4404,-2267087.8665
4058468013,507069768,56.8101,11.559,NA,421.6472,NA,373336.9475,219.2789,20.1404,13927288.4702
4058474084,508545942,124.4339,0.4397,NA,479.2238,NA,397747.6588,14.3783,54.6694,-47392056.94
4058476680,507799687,79.9735,1.3822,NA,426.4226,NA,673417.268,30.5593,19.2938,4006951.7735
4058477904,506769097,14.6355,0.8846,NA,402.4331,NA,134186.7439,20.0236,30.5232,-6034389.4944
4058485388,508604480,279.5303,1.2693,NA,412.8732,NA,728134.0905,34.8557,21.4167,15829747.5898
4058486431,508677878,284.3405,9.514,NA,416.858,NA,481982.4786,603.7412,223.4089,-126589632.1626
4058486834,509708645,244.9269,61.977,NA,330.7771,NA,766658.5156,975.1964,147.0735,-40678288
4058488024,507937479,111.6104,1.8168,NA,424.4777,NA,583970.537,38.5551,18.3196,-1842461.7458
4058488388,507684639,98.8299,2.1554,NA,457.4697,NA,313729.7047,35.1827,19.5863,29399066.9594
4058488865,509739120,273.2118,1.2731,NA,451.3293,NA,772196.5318,57.0353,63.9092,-65756370.1737
4058490398,508239837,404.7983,0.7258,NA,496.4013,NA,758554.9733,27.4231,69.2017,-59241912.9741
4058494171,508815138,315.879,8.1491,NA,437.0458,NA,694193.2443,261.5079,134.3642,-86713759.0788
4058494382,508981430,120.575,237.2055,NA,674.5542,NA,542480.9688,9262.4844,179.1645,-27797201
4058494565,509299667,116.4842,1.3906,NA,420.6113,NA,613547.6655,29.4186,18.8512,-465419.4636
4058495259,508366579,465.7426,2.8421,NA,460.108,NA,595319.7433,202.1348,228.023,-124363371.6834
4058496706,507777524,204.8452,9.8549,NA,451.1559,NA,506249.7169,250.6697,71.0121,-16622605.2505
4058501821,507094152,7.4797,1.397,NA,381.5033,NA,203350.2863,17.834,2.356,48454496.3792
4058503442,507509850,115.8226,0.4806,NA,644.9427,NA,248094.2148,18.5197,88.6622,-113997880.5
4058503931,507804526,68.7378,1.4985,NA,460.2797,NA,322293.5323,27.1879,14.7198,14961265.0083
4058504946,509118377,311.5737,1.5018,NA,400.1318,NA,684113.1848,65.1256,244.7438,-137349687.8038
4058505429,508971884,245.9884,1.5503,NA,414.8118,NA,565295.3258,112.0435,131.8233,-79856175.404
4058505941,508617193,427.2861,4.3572,NA,435.3809,NA,716557.4589,228.7867,245.7686,-140904267.7417
4058505990,506799932,16.9424,0.3689,NA,428.8831,NA,163830.3349,5.658,5.9094,12062971.7392
