"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058456654,507596813,9.95,9.95,9.95,0,819.7,821.4,820.5656,0.8441,13.8,13.9,13.8968,0.0177
4058609414,508195276,9.35,9.35,9.35,0,690.6,692.2,690.9302,0.299,22.9,23,22.9406,0.0491
4058557821,507791884,9.75,9.75,9.75,0,577.7,578.5,578.2257,0.3098,20.7,20.7,20.7,0
4058471806,507801143,9.75,9.75,9.75,0,581.5,581.7,581.5357,0.0766,20.5,20.6,20.5179,0.0383
4058471667,507159989,9.35,9.45,9.4492,0.0088,538,551.5,543.9836,3.8803,22.1,22.6,22.3141,0.1102
4058505126,506386446,8.85,8.95,8.899,0.05,621.8,623.8,623.3824,0.7264,18.9,18.9,18.9,0
4058471640,506922811,9.05,9.15,9.1167,0.0471,604.5,606.6,605.4286,0.679,16.2,16.3,16.2143,0.035
4058457449,507281453,9.55,9.55,9.55,0,593.9,594.9,594.1579,0.432,18.4,18.5,18.4737,0.044
4058465647,506965946,8.95,9.05,9.047,0.0171,598.9,603.4,602.6818,0.8922,20.7,20.8,20.7515,0.05
4058471680,508173181,9.65,9.65,9.65,0,646.9,646.9,646.9,0,20.4,20.4,20.4,0
4058511703,508146036,9.75,9.75,9.75,0,613,613.6,613.1111,0.2331,21.5,21.6,21.5185,0.0388
4058467732,507079471,9.55,9.55,9.55,0,565.5,567,566.4762,0.5408,18,18.3,18.1722,0.0613
4058597750,507390152,9.65,9.65,9.65,0,572.6,577.4,574.3938,1.9159,18.2,18.3,18.225,0.0433
4058465673,506874965,8.85,8.95,8.9207,0.0455,640.2,642.4,642.161,0.6305,16,16.1,16.039,0.0488
4058629930,506375182,8.75,8.85,8.838,0.0324,897.5,904.1,899.2185,2.5372,18.1,18.2,18.1793,0.0405
4058539918,506567265,9.25,9.25,9.25,0,815.1,820.3,816.0288,0.9483,16.8,16.9,16.8288,0.0453
4058515987,507129324,9.65,9.65,9.65,0,725.7,733.4,728.6754,3.717,14,14,14,0
4058515960,506829606,9.45,9.55,9.4654,0.0361,790.7,793.7,793.2385,1.0824,15,15.1,15.0846,0.0361
4058538996,506303298,8.75,8.75,8.75,0,897.7,901,899.6105,1.6293,20.8,20.8,20.8,0
4058629855,506242030,8.55,8.55,8.55,0,937.4,943.2,938.85,2.5115,21,21.1,21.025,0.0433
4058621013,506226657,8.75,8.85,8.8123,0.0485,862.5,864.2,863.0195,0.5274,24.9,25,24.9623,0.0485
4058584619,509261864,10.45,10.45,10.45,0,581.7,586.2,584.5539,1.3957,13.5,13.7,13.6474,0.0881
4058614621,509311503,10.45,10.55,10.5042,0.0498,617.3,618.5,618.0542,0.5131,15.1,15.4,15.2625,0.1495
4058586838,506592670,8.95,8.95,8.95,0,820,824.7,822.444,2.3481,15.1,15.1,15.1,0
4058542970,506432423,8.85,8.85,8.85,0,889.3,893.7,893.4556,1.0079,15.8,15.9,15.8944,0.0229
