"id","subc_id","bio1_mean","bio12_mean","bio15_mean"
4058597854,507467670,9.65,573.6938,18.3
4058612844,506310688,8.85,875.0667,18.6
4058621002,506483807,9.05,879.3333,17.8255
4058543560,507844499,9.7315,561.0827,22.4383
4058456661,507743430,9.95,847.4837,13.0651
4058539053,506312752,8.75,892.4,20.1
4058612931,506362737,8.75,972.2444,21.1444
4058554719,506739497,8.925,555.35,23.5
4058456652,508235432,10.45,808.6366,11.5146
4058602048,506905711,9.5441,796.6118,14.3
4058592131,506338617,9.0452,676.7333,18.9
4058453435,507173161,9.45,610.1,17.4
4058505133,506475036,8.75,594.6,19.8
4058623044,507152475,9.6237,751.0105,12.7368
4058516024,506612601,9.2476,849.6452,16.5
4058559036,506859919,9.55,770.2,14.7
4058587448,507149563,9.25,612.3364,16.8932
4058612984,506433795,8.95,893.6926,16.9
4058465731,507384827,9.65,589.4,18.5
4058546730,508157624,9.95,1037.1,13.1
4058557796,507906454,9.75,592.96,21.1422
4058609425,508131296,9.4567,683.86,22.5
4058502627,508215985,9.75,555.2648,24.4232
4058456743,508179361,9.05,1144.2,11.7
4058550699,508073597,10.35,821,11.8
4058517441,508187306,9.55,665.888,19.992
4058468805,507407351,9.65,564.7391,17.9
4058503718,507845721,10.25,830.5655,13.4052
4058543028,506360643,8.75,853.387,16.8
4058612817,506451745,8.95,881.8116,15.913
4058550642,507694897,9.95,826.1,13.4
4058612929,506422776,8.95,928.34,17.1
4058511677,506855975,8.95,623,15.76
4058490493,508529461,8.95,699.2,12.5
4058505107,506591509,8.95,711,14.52
4058612840,506503334,8.95,845.7541,15.2
4058467710,507184939,9.45,527.3172,25.6397
4058589703,507652122,9.95,872,13.2
4058539871,506513694,8.85,717.9833,16.1389
4058554854,507407351,9.65,564.7391,17.9
4058536927,506331919,9.05,754.4,16.5
4058471830,506776073,8.85,599.7415,15.4
4058585589,506922210,9.45,607.6278,16.4
4058566443,508049169,9.65,666,22.4
4058546758,507556822,9.85,829.35,13.3
4058602064,506849627,9.45,790.6224,15.0566
4058496576,507164733,9.65,570.38,18.596
4058588605,509348778,10.55,657.816,15.692
4058467782,507829558,9.6848,611.1435,22.1348
4058542927,506380396,8.85,898.3929,18.0071
4058586982,506397863,8.9016,896.4935,16.6935
4058539840,506532136,9.05,833.15,16
4058630044,506331871,8.85,879.56,18.3
4058456638,507938709,9.86,881.78,12.01
4058600048,507889874,9.15,741.5,12.9
4058557806,508028139,9.65,609.7,21.5
4058546659,507946578,10.05,874.8,11.9
4058468800,507879448,9.65,613.7774,22.3
4058460423,507164205,9.35,606.16,16.94
4058585640,507840309,9.65,599.9,16.6
4058615566,508472689,9.151,636.5673,24.7
4058542859,506511075,9.15,870.4473,17.5782
4058609452,508003486,9.5379,674.2606,23.7
4058600077,507020898,9.65,768.3565,14
4058554642,507499323,9.65,607.1694,19.2
4058629999,506539304,8.85,776.3784,15.4838
4058612799,506520910,8.95,851.8,15.2
4058587042,506296252,8.85,867.0957,23.7217
4058468644,506967617,9.0128,595.5837,20.9581
4058520014,506616117,9.25,849.3786,16.4905
4058493599,508450571,9.0682,664.1182,14.1182
4058587442,507290269,9.5322,588.2347,18.4873
4058600031,506774889,9.45,811.0425,15.6
4058622989,507166944,9.75,865.1667,15.2
4058629842,506304160,8.85,767.9615,16.9
4058457424,507228691,9.45,594.3,17.8
4058543021,506403829,8.8929,893.2143,16.7821
4058600009,506762426,9.45,799.7547,15.7674
4058538856,506434057,8.95,902.04,18
4058629928,506598488,8.95,846.6737,15
4058587030,506472307,8.85,821.9784,15.1689
4058521027,506810786,9.35,683.25,14.2417
4058496567,507689505,9.35,572.46,19.4745
4058597671,507357512,9.5808,567.9692,18.1
4058515960,506829606,9.4654,793.2385,15.0846
4058471653,506954814,9.05,603.6,20.7
4058493607,509206402,10.35,701.18,11.26
4058579332,508197244,9.25,548.4,17.6
4058543011,506259233,8.65,886.4375,21.9
4058630042,506539304,8.85,776.3784,15.4838
4058587453,507143498,9.25,612.3182,16.9
4058538849,506421927,8.95,932.0857,17.1
4058459683,507804526,10.0745,835.4358,12.8
4058511774,507028004,9.45,584.0316,17.7203
4058471668,506981818,9.15,581.0867,19.2533
4058589745,508021435,10.35,810.05,12.1
4058495599,507588068,9.55,546.0556,21.4012
4058557792,506846171,9.0564,543.483,21.9
4058612908,506483575,8.95,705.7,17
4058557728,508156470,9.75,626.519,21.0159
4058597777,507018243,9.35,598.6039,16.7052
4058597739,507769127,9.75,584.2792,20.8661
4058495629,507422817,9.6194,557.3667,20.4
4058454745,509008846,7.75,1088.7913,13.5913
4058465647,506965946,9.047,602.6818,20.7515
4058467735,506957593,9.3129,543.1216,23.0979
4058620943,506472591,8.95,743.6,16.5
4058585626,507019339,9.45,587.7,17.1
4058538970,506544827,9.15,819.9474,16.4
4058538989,506249300,8.65,841.8,19.6
4058483897,509735043,10.25,844.4,14.3
4058517444,508240030,9.35,697.7018,22.7
4058465673,506874965,8.9207,642.161,16.039
4058459701,507793618,10.25,847.7286,13.2
4058602026,506716187,9.35,833,15.7
4058540021,506380897,8.85,889,18.225
4058538800,506438606,8.95,748.0143,17.3
4058612881,506261292,8.6813,834.8781,19.8
4058615643,507865887,6.9625,993.9813,14.0688
4058539974,506516616,8.95,847.1538,15.2
4058546655,508192818,10.45,812.7,11.5
4058600065,506819918,9.5085,787.9963,15.0061
4058594645,506973186,9.55,631.5865,15.6432
4058554695,507307049,9.5183,614.6537,18.1
4058587016,506399368,8.85,888.3,16.4
4058459673,507250322,9.75,740.3596,13.4021
4058589629,507805949,10.05,832.7571,12.8
4058493625,508872211,8.95,763.8065,10.6
4058459645,508253321,9.1125,1261.7625,14.4
4058609414,508195276,9.35,690.9302,22.9406
4058597735,506943581,9.15,602.8,16.9
4058542823,506597370,8.95,845.7367,15.0389
4058471711,507070453,9.45,529.0208,23.4717
4058465835,506817583,9.15,525.7,23.6
4058471660,506757483,8.8438,596.3,16.4
4058597793,506819641,9.15,534.8,22.9
4058620975,506423314,8.95,923.8,19.3
4058468733,508156470,9.75,626.519,21.0159
4058518417,508131989,9.4925,684.1779,22.5159
4058467790,508028139,9.65,609.7,21.5
4058454649,507920627,9.85,883.6,12.2
4058471827,508039386,9.75,592,22.3
4058500633,508009762,9.2468,797.871,12.8
4058499625,508481097,8.5484,771.3828,12.9609
4058516061,506824889,9.5071,795.5667,15.1
4058585562,508015378,7.95,651.7809,15.9723
4058557684,507089902,9.45,529.5043,22.2435
4058518445,508074580,9.45,687.9063,23.5094
4058520021,506772829,9.45,808.8625,15.6208
4058597659,507155014,9.45,535.7071,22.4429
4058500623,508971915,9.95,704.915,13.9
4058554725,507441621,9.65,571.62,18.7
4058550665,507609533,9.75,827.7063,13.5
4058597801,508089405,9.65,647.8643,20.1321
4058459747,507972284,10.35,821.9891,12.3522
4058586975,506358944,8.85,878.8517,19.0379
4058558974,506568041,9.25,857.7,17.1
4058456736,508039112,10.35,816.8,12
4058620936,506402537,8.95,887.7818,16.7
4058550755,507247852,9.75,734.8863,13.5078
4058538943,506326215,9.15,689.6,17
4058502589,507757789,9.663,617.8478,16.3
4058516045,507474203,9.55,725.3,12.7
4058510119,506491876,8.7071,599.1,19.6
4058620814,506270805,8.75,876.8902,23.3
4058511680,506829760,8.95,607.3214,16.0393
4058467829,507048687,9.45,589.3227,17.3864
4058546683,507486372,9.65,846.3818,12.7
4058511157,506414345,8.89,655.76,18.1
4058539811,506423614,8.95,915.775,18.2
4058467736,506972682,9.35,604.845,17.445
4058621040,506425359,8.95,734.1368,17.3
4058536889,506330223,8.85,912.2,21.78
4058620818,506603813,8.95,810.6,14.9
4058471667,507159989,9.4492,543.9836,22.3141
4058536814,506293244,8.75,890.7769,22.8231
4058495569,507333969,9.65,584.3,20.5
4058597640,507477107,9.65,592.9638,19.1675
4058634337,508493740,8.95,737,12.4
