"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","outlet_dist_dw_basin_min","outlet_dist_dw_basin_max","outlet_dist_dw_basin_mean","outlet_dist_dw_basin_sd","outlet_dist_dw_scatch_min","outlet_dist_dw_scatch_max","outlet_dist_dw_scatch_mean","outlet_dist_dw_scatch_sd","channel_dist_up_seg_min","channel_dist_up_seg_max","channel_dist_up_seg_mean","channel_dist_up_seg_sd","strahler"
4058456654,507596813,47.3,52.1,50.2957,0.7165,0.0053,0.5134,0.0677,0.1306,239537,241032,240396,392.755,0,1495,859.0968,392.8178,57,1277,676.8125,369.9249,1
4058609414,508195276,137.4,144.4,141.2604,1.7542,0.0054,1.2437,0.115,0.2173,768884,770491,769748.3,386.484,0,1606,863.8021,386.4164,93,1590,824.25,422.5392,2
4058557821,507791884,48.1,55,52.2743,1.9952,0.0053,0.4003,0.0449,0.0868,656054,657118,656642.1,268.9226,0,1064,588.3514,268.8548,109,788,449,216.9643,1
4058471806,507801143,49.7,59.7,54.6107,3.1326,0.0053,0.1594,0.0351,0.0461,657759,658420,658104.3,170.034,0,660,345.1071,169.9097,109,385,234.25,105.6867,1
4058471667,507159989,6,17.6,10.4031,3.031,0.0052,1.9571,0.1602,0.3177,200920,203025,201974.81,534.71,0,2105,1054.6328,534.6705,56,1743,856.65,519.273,2
4058505126,506386446,1.1,5.9,2.6039,1.4449,0.005,111.5706,2.2265,15.4637,11379,12119,11799.745,163.4824,0,740,420.7451,163.4824,93,579,354.8571,159.3948,1
4058471640,506922811,47.7,54.2,49.6921,2.1675,0.0052,0.4609,0.0513,0.087,401687,402310,402071.44,136.6669,0,622,383.7937,136.6816,108,495,306.2,135.6988,1
4058457449,507281453,33.1,45.7,38.1789,4.2938,0.0052,0.387,0.0478,0.0865,424593,425238,424994.75,191.7064,0,645,401.7368,191.7064,57,222,148,68.4251,1
4058465647,506965946,45.5,59.6,48.2485,4.4816,0.0052,0.7577,0.1871,0.2058,201421,202044,201777.19,156.911,0,623,356.3333,156.9226,56,389,213.6667,117.1675,2
4058471680,508173181,106.2,111.9,109.19,1.7991,0.0054,30.8377,3.1144,9.2412,584867,585414,585180.9,157.0149,0,547,313.7,156.8573,109,386,260.5,106.0436,1
4058511703,508146036,92.7,94,93.4815,0.3323,0.0054,5.596,0.2339,1.0522,570442,571165,570843.7,176.4397,0,722,401.3333,176.4273,58,283,170.5,88.3926,1
4058467732,507079471,24.9,27.5,26.5825,0.453,0.0052,46.7826,0.4477,4.1476,269687,272201,271127.8,699.6244,0,2513,1440.3175,699.6665,108,201,154.5,46.5,1
4058597750,507390152,33.3,35.2,33.8979,0.5202,0.0052,0.2317,0.0371,0.0626,358012,359237,358646.72,323.252,0,1225,634.7083,323.252,109,109,109,0,1
4058465673,506874965,50.7,80,64.9585,7.7658,0.0052,0.4083,0.0802,0.1178,385990,386863,386439.06,225.955,0,873,449.0732,225.955,108,749,399.8889,212.7583,2
4058629930,506375182,9.6,21.9,12.7293,2.6673,0.005,1.5005,0.2185,0.4093,68706,70599,69578.51,517.6408,0,1893,872.8478,517.6281,108,808,477.5,236.7515,1
4058539918,506567265,0.3,2.8,1.1712,0.6433,0.0051,0.3569,0.0409,0.0732,3277,4201,3752.9243,226.9076,0,923,475.4697,226.8307,55,597,326,171.5767,1
4058515987,507129324,21.4,25,23.2522,0.8373,0.0052,0.2569,0.0415,0.0641,143709,144827,144441.88,286.0901,0,1119,733.058,286.0791,109,913,463.9,264.9934,1
4058515960,506829606,9,10.1,9.6,0.2935,0.0052,0.5875,0.1825,0.2634,65129,65404,65310.46,86.387,0,276,181.7692,86.3492,56,276,179,81.3081,2
