"id","subc_id","elev_mean","flowpos_mean","outlet_dist_dw_basin_mean","outlet_dist_dw_scatch_mean","channel_dist_up_seg_mean","?column?"
4058453435,507173161,33.85,60.9227,448278.5,54.5,56,NA
4058454649,507920627,76.5667,368.1379,421854,150,157,NA
4058454745,509008846,485.9304,17.4715,779486.5,252.913,218.4,NA
4058456638,507938709,73.52,3.2071,411547.0938,149.4,132.6667,NA
4058456652,508235432,35.0683,11.9429,258176.6406,397.8293,381.8571,NA
4058456661,507743430,60.493,38.1209,274459.0938,446.2326,449.8,NA
4058456736,508039112,24.1929,59.883,232276.6406,177.6429,173.4,NA
4058456743,508179361,211.675,44.8141,437173.3125,232.25,252.5,NA
4058457424,507228691,36.4125,2.3449,440519.5,150,137,NA
4058459645,508253321,237.0375,12.0931,391381.2188,328.7917,261,NA
4058459673,507250322,40.2064,22.7036,208853.2344,407.5106,384.75,NA
4058459683,507804526,47.9038,47.9662,309033.125,471.434,504.4545,NA
4058459701,507793618,14.9571,17.3184,186629.9063,240.619,287.8,NA
4058459747,507972284,24.2957,6.5987,216513.4844,426.9348,350.9091,NA
4058460423,507164205,46.98,15.0023,465273,102.4,109,NA
4058465647,506965946,48.2485,0.1871,201777.1875,356.3333,213.6667,NA
4058465673,506874965,64.9585,0.0802,386439.0625,449.0732,399.8889,NA
4058465731,507384827,34.925,80.7376,352915.75,81.75,109,NA
4058465835,506817583,5.5333,240.1059,141348.0781,120.4167,111.6667,NA
4058467710,507184939,13.6052,7308.0874,214029.6563,562.0172,432,NA
4058467735,506957593,4.3082,21229.9023,155460.0781,801.8351,797.0667,NA
4058467736,506972682,34.275,73.6297,286037.3438,224,210.75,NA
4058467782,507829558,66.4435,618.2898,692005.4375,273.5217,299,NA
4058467790,508028139,95.8476,4.6898,563959.6875,246.1905,260.5,NA
4058467829,507048687,29.3909,798.8605,307879.5,260.3636,254.7143,NA
4058468644,506967617,57.2488,0.9121,199634.2188,636.6395,549.1,NA
4058468733,508156470,96.5143,15.5385,577212.25,616.254,608.0833,NA
4058468800,507879448,75.9419,505.49,701358.875,335.2258,368.1667,NA
4058468805,507407351,37.3609,2.1145,364951.4063,230.6957,243.2,NA
4058471653,506954814,41.4333,8.0332,197253.1719,118.8333,129.3333,NA
4058471660,506757483,60.9313,1.7084,552367.625,220.25,185.3333,NA
4058471667,507159989,10.4031,0.1602,201974.8125,1054.6328,856.65,NA
4058471668,506981818,23.7567,2.199,193989.5156,409.25,291.75,NA
4058471711,507070453,6.1575,3.5582,193560.1719,1165.2583,1137.3438,NA
4058471827,508039386,86.7273,179.0792,542426.75,159.7273,167,NA
4058471830,506776073,65.2769,2.1824,414629.375,400.4923,412.7143,NA
4058483897,509735043,178.2625,188.7067,754410.5,303.5,292,NA
4058490493,508529461,207.5875,735.983,581162.5,108.625,164.5,NA
4058493599,508450571,193.4364,287.5965,523427.0938,205.8182,208,NA
4058493607,509206402,95.105,5328.5483,602361.4375,273.65,199.5,NA
4058493625,508872211,251.8936,125.0917,619580.3125,392.1613,388.7143,NA
4058495569,507333969,34.8667,27.421,368168.7813,129.1111,113.3333,NA
4058495599,507588068,55.8136,16.8889,351434.875,557.7778,412.3,NA
4058495629,507422817,44.4528,34.8535,395107.5313,387.0833,421.4286,NA
4058496567,507689505,89.3836,202.7862,490979.4063,451.6727,397.7143,NA
4058496576,507164733,32.016,10.4687,262210.9688,365.96,287.6,NA
4058499625,508481097,295.3797,120.0926,590774.0625,472.1563,503.8462,NA
4058500623,508971915,125.45,21.6703,662839.625,284.6,306.2,NA
4058500633,508009762,141.1968,289.4998,402726.0625,503.6935,456.8,NA
4058502589,507757789,66.9174,15840.6377,454567.6875,262.6957,252.5,NA
4058502627,508215985,100.9824,30.1992,518623.2188,762.416,615.1333,NA
4058503718,507845721,22.1741,43.5556,243049.5938,584.0862,578.8182,NA
4058505107,506591509,38.644,11.326,138251.6875,433.56,434.3333,NA
4058505133,506475036,32.8,20.1022,131368.1875,407.2813,243.25,NA
4058510119,506491876,37.7,29.4112,138420.4219,90.7143,109,NA
4058511157,506414345,31.82,5.3294,67802,101.8,108,NA
4058511677,506855975,57.96,140.754,396698.0938,312.4,206,NA
4058511680,506829760,57.7321,92.3249,334838.5313,299.25,221.5,NA
4058511774,507028004,26.4722,38.6529,273079.1563,1084.4812,595.5,NA
4058515960,506829606,9.6,0.1825,65310.4609,181.7692,179,NA
4058516024,506612601,11.4929,15.4922,15154.1904,458.6667,239.8,NA
4058516045,507474203,67.15,301.0928,273993,153,166,NA
4058516061,506824889,9.0905,17.9692,63124.8086,264.9524,256.6667,NA
4058517441,508187306,120.664,47.0062,591859.25,328.56,331.6667,NA
4058517444,508240030,145.0036,6.0198,774760.5,640.8545,639.6923,NA
4058518417,508131989,122.1982,131.7174,750213.125,913.4159,836.25,NA
4058518445,508074580,123.45,0.1609,756309.25,363.1875,201.4,NA
4058520014,506616117,10.1214,17.4448,15770.4521,366.4524,324,NA
4058520021,506772829,1.8792,84.874,42626.293,319.2917,257.25,NA
4058521027,506810786,21.4333,335.5324,102618.6641,204.6667,201,NA
4058536814,506293244,1.8692,3.5215,37960.7695,165.2308,161,NA
4058536889,506330223,1.28,4.4856,70824.2031,75.4,81.5,NA
4058536927,506331919,26.8641,0.4263,6286.6665,455.5641,463.25,NA
4058538800,506438606,9.2476,31.1469,23026.3809,251.1429,215.3333,NA
4058538849,506421927,3.7333,184.5175,62495.7148,261.4286,261.75,NA
4058538856,506434057,4.824,12.6533,50235.4414,290.64,284.4,NA
4058538943,506326215,1.7765,10.4613,2778,257.0588,278.4,NA
4058538970,506544827,10.8368,4.4862,28043.9473,474.8684,230.25,NA
4058538989,506249300,37.1243,2.3409,115682.6484,336.8649,299,NA
4058539053,506312752,1.4,48.4195,92086.2891,128.2857,134.5,NA
4058539811,506423614,7.7,10.079,54359.875,126.25,135,NA
4058539840,506532136,14.0821,5.9712,37017.5352,311.5357,288.1429,NA
4058539871,506513694,34.7222,12.0255,54299,363.7222,381,NA
4058539974,506516616,20.8385,0.445,58373.7695,171.7692,203.75,NA
4058540021,506380897,11.05,13.1306,65988.75,100.25,108,NA
4058542823,506597370,34.09,10.2963,67087.9453,685.3778,581.3846,NA
4058542859,506511075,1.3673,53.0925,4919.6909,568.3455,550.2143,NA
4058542927,506380396,13.3929,3.1205,68042.2891,200.2143,229.25,NA
4058543011,506259233,17.25,18.8825,84510.875,148.25,200,NA
4058543021,506403829,10.9286,59.585,74317.1406,303.2143,279.5,NA
4058543028,506360643,25.8826,0.1251,130269.9531,325.3478,332.1667,NA
4058543560,507844499,74.8667,17.3396,444001.7188,752.679,529.6923,NA
4058546655,508192818,31.8625,94.4048,251408.5,179.875,207.3333,NA
4058546659,507946578,66.1905,36.7963,380809.7188,412.7619,86.5,NA
4058546683,507486372,57.0364,230.2899,241409,157,142.5,NA
4058546730,508157624,88.5238,930.6717,358450.1875,271.9524,276.6,NA
4058546758,507556822,62.6375,23.8109,285096.875,145.625,147.5,NA
4058550642,507694897,50.9778,239.5792,258691.7813,129.8889,114.6667,NA
4058550665,507609533,73.0208,6.0611,294536.3438,478,362.2857,NA
4058550699,508073597,26.8405,134.0615,232922.0313,334.9048,357.5714,NA
4058550755,507247852,39.8275,11.7284,204620.0938,565.6471,457,NA
4058554642,507499323,44.2306,3.0129,534152.8125,758.2245,640.5,NA
4058554695,507307049,35.5024,5.0279,497962.5938,538.1707,368.5455,NA
4058554719,506739497,21.725,14.9944,138230.75,81,108,NA
4058554725,507441621,35.9233,190.9035,433698.5625,331.4,375.5,NA
4058554854,507407351,37.3609,2.1145,364951.4063,230.6957,243.2,NA
4058557684,507089902,5.113,77.1687,186484.2813,475.1087,470.3333,NA
4058557728,508156470,96.5143,15.5385,577212.25,616.254,608.0833,NA
