"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","outlet_dist_dw_basin_min","outlet_dist_dw_basin_max","outlet_dist_dw_basin_mean","outlet_dist_dw_basin_sd","outlet_dist_dw_scatch_min","outlet_dist_dw_scatch_max","outlet_dist_dw_scatch_mean","outlet_dist_dw_scatch_sd","channel_dist_up_seg_min","channel_dist_up_seg_max","channel_dist_up_seg_mean","channel_dist_up_seg_sd","strahler"
4058476646,507745870,44.6,51.9,47.41,2.9908,0.0053,0.4351,0.0862,0.1307,651512,651954,651728.9,103.6137,0,442,216.9,103.6137,109,281,195,64.1755,2
4058547539,507191030,30.9,45.1,39.16,4.4522,0.0052,0.1416,0.0217,0.0324,442327,442822,442627.1,137.6909,0,495,300.05,137.7267,56,258,159.6667,82.5523,1
4058453539,507217794,29.8,40.7,33.1419,2.2283,0.0052,674.1919,15.725,101.6037,437026,438012,437670.03,257.0049,0,986,644.1628,256.9544,57,817,436.75,248.8231,1
4058460539,507289680,29.8,52.8,40.2114,8.9991,0.0052,0.6549,0.0482,0.0972,425581,426786,426224.22,288.4409,0,1205,642.8987,288.4616,109,863,460.9,233.7997,1
4058476656,507613151,45.5,50.2,47.3809,1.3179,0.0053,0.3574,0.0381,0.0755,616184,617085,616700.9,241.7444,0,902,517.1324,241.8205,109,327,218,88.9981,1
4058477664,507959121,82.8,85.9,84.8108,0.6741,0.0053,0.134,0.0248,0.037,535525,536163,535912.7,159.8223,0,639,388.1622,159.953,109,328,218.3333,89.4067,1
4058567006,507970390,78.4,80.4,79.0605,0.4775,0.0053,23.8088,0.5888,3.5834,510899,511764,511383.53,186.681,0,865,484.6279,186.7611,109,392,245.4,104.4119,1
4058497128,507074089,26,30.7,28.013,1.5648,0.0052,0.227,0.0347,0.0551,271166,271862,271587.8,165.8718,0,696,421.4565,165.9118,108,442,266.5,117.3921,1
4058567611,506890404,36.5,72.8,57.9367,12.4195,0.0052,580.3268,20.3965,104.1198,379493,380636,380208.56,290.9093,0,1143,715.5333,290.9229,56,818,436.7778,262.2258,1
4058550293,506406239,8.8,22.2,11.5786,3.3501,0.0051,0.0836,0.0363,0.0288,71690,72124,71891.5,123.6809,0,434,201.3571,123.5693,55,379,216.8,108.1007,1
4058632286,506481192,4.5,8.9,6.1463,1.2452,0.0051,0.2987,0.049,0.0781,23559,24375,23973.186,176.998,0,815,413.9444,177.063,108,545,313.125,143.7623,1
4058466448,506228713,6.8,10.2,8.0191,0.7555,0.0049,0.6227,0.0912,0.1746,41612,43496,42622.145,526.6712,0,1884,1010.1,526.6577,93,1684,896.8571,474.2356,1
4058469467,506360643,24,29.8,25.8826,1.1812,0.005,0.4694,0.1251,0.1902,129945,130591,130269.95,184.4608,0,647,325.3478,184.5325,108,539,332.1667,140.6063,2
4058561460,506360643,24,29.8,25.8826,1.1812,0.005,0.4694,0.1251,0.1902,129945,130591,130269.95,184.4608,0,647,325.3478,184.5325,108,539,332.1667,140.6063,2
4058556468,506360643,24,29.8,25.8826,1.1812,0.005,0.4694,0.1251,0.1902,129945,130591,130269.95,184.4608,0,647,325.3478,184.5325,108,539,332.1667,140.6063,2
4058632307,506324720,4.1,32,21.1292,7.3459,0.0052,0.0873,0.0214,0.0231,6676,7307,7004.1665,156.8411,0,631,328.3333,156.9136,54,270,162.25,85.2243,1
4058469476,506327181,9.1,28.8,23.71,4.0694,0.005,0.0804,0.0206,0.0223,7979,8741,8391.325,194.0294,0,762,412.4,194.0911,107,469,273.8,131.3216,1
4058550272,506614990,10.1,27,16.8124,5.2618,0.0051,0.7694,0.0749,0.1628,103669,105921,104803.15,606.2205,0,2252,1134.062,606.2052,55,2074,1016.3636,619.7781,1
4058632295,506627827,9.4,13.9,11.2938,1.0192,0.0051,0.6913,0.1669,0.2769,101721,102483,102099.53,200.3955,0,761,378.0938,200.3362,108,653,387.125,169.276,2
4058469473,506629415,10.5,16.8,13.08,1.5761,0.0051,10.2329,2.4431,4.3301,101048,101705,101350.76,181.1073,0,656,302.48,181.1552,108,108,108,0,1
4058605518,506813868,8.8,17.9,12.1059,2.5295,0.0052,615.6838,36.3106,144.8434,137954,138427,138187.64,118.4364,0,473,233.6471,118.4364,56,328,192,98.1835,2
4058475630,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058477636,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058565633,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058521626,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058477638,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058567630,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058602616,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058521617,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058544121,507522811,43.7,46.2,44.485,0.646,0.0053,0.2135,0.0353,0.0566,342354,343146,342776.6,220.9049,0,792,422.45,220.7209,109,109,109,0,1
4058498116,507268322,30.1,35.8,34.3433,0.7688,0.0052,4103.3203,61.2809,497.5407,288104,289256,288785.12,275.6376,0,1152,681.6269,275.5696,109,930,498.7,260.8923,1
4058503118,507268322,30.1,35.8,34.3433,0.7688,0.0052,4103.3203,61.2809,497.5407,288104,289256,288785.12,275.6376,0,1152,681.6269,275.5696,109,930,498.7,260.8923,1
4058496129,507268322,30.1,35.8,34.3433,0.7688,0.0052,4103.3203,61.2809,497.5407,288104,289256,288785.12,275.6376,0,1152,681.6269,275.5696,109,930,498.7,260.8923,1
4058586138,507675140,51.2,59.2,54.4645,2.4276,0.0053,0.1148,0.0297,0.0333,382565,383409,383057.06,236.1629,0,845,492.7097,236.3861,93,570,334.3333,162.5153,1
4058462953,508172953,42,128.7,69.5762,29.0951,0.0054,4332.3535,527.3643,1354.055,302153,303092,302637.84,205.9524,0,940,485.1111,206.0908,109,560,327.2857,157.1448,8
4058610978,509632917,253.9,261.9,257.2,2.9172,0.0056,267.1769,66.816,115.6785,783886,783997,783956.75,45.6639,0,111,70.5,45.7193,111,111,111,0,5
4058489972,509733563,241.3,251.4,247.1,3.7961,0.0056,316.3376,90.3587,142.8527,866901,867415,867121.94,150.2105,0,514,221.2143,150.0101,61,242,151.5,67.5296,6
4058463953,508126854,56.8,103,73.7686,9.7708,0.0054,2.5141,0.4611,0.8844,318374,319222,318788.78,202.5788,0,848,415.2857,202.5065,109,629,374.4286,169.4671,3
4058555949,507946578,64.1,69.4,66.1905,1.4628,0.0053,388.9705,36.7963,112.4347,380397,381135,380809.72,226.5508,0,738,412.7619,226.561,58,115,86.5,28.5,7
4058598955,507919891,62.7,66.6,64.5207,1.1725,0.0053,6.5535,1.7967,2.876,375588,376203,375914.56,165.6818,0,616,326.931,165.7609,109,564,336.625,155.1475,3
4058470950,507670803,44.4,50.1,47.72,2.7125,0.0053,1452.6821,581.0656,711.6496,267449,267615,267537.2,55.9836,0,166,88.2,55.9836,57,115,86,29,7
4058464947,507935796,58.3,62.9,59.9619,1.5707,0.0053,40.1872,8.9367,16.171,351010,351523,351238,135.6508,0,513,228,135.6508,109,369,247.75,100.0584,5
4058602620,507258497,10.9,19.7,14.8833,3.1107,0.0052,50895.05,6363.8545,16830.963,228265,228848,228526.8,157.0658,0,584,262.375,157.0628,109,310,206.6667,82.1557,9
4058565666,507258497,10.9,19.7,14.8833,3.1107,0.0052,50895.05,6363.8545,16830.963,228265,228848,228526.8,157.0658,0,584,262.375,157.0628,109,310,206.6667,82.1557,9
4058477670,507487349,23,31,25.3789,2.4323,0.0053,48973.605,7697.38,16973.826,274236,275023,274649.8,229.507,0,787,413.8421,229.497,93,512,300.8,146.9958,9
4058521606,506752936,58.9,91.2,72.5207,10.7885,0.0051,94.325,13.0031,32.4758,568599,569508,569134.56,246.6138,0,909,535.6034,246.6339,108,603,362,173.1141,5
4058497123,507860206,75.3,76.6,75.763,0.365,0.0053,186.8824,52.7942,84.1014,500120,501075,500584.72,257.606,0,954,464.2609,257.5759,58,851,418.7692,238.5382,6
4058518007,508574867,121.1,232,156.785,32.5279,0.0061,38.8552,6.4783,12.9348,679985,680726,680441.25,193.9513,0,741,456.525,193.8719,93,683,385.4286,198.8415,4
4058521654,507778362,59.2,62.5,60.7234,0.7401,0.0053,2375.4138,376.871,807.2765,683732,685668,684779.75,559.3596,0,1936,1047.6613,559.3678,109,1516,816.6,423.0349,8
4058476642,507774859,44.1,48.4,45.4711,1.0105,0.0053,446.1821,86.6343,170.2562,649950,650668,650346.56,194.744,0,718,396.4,194.772,93,650,371.25,180.4645,6
4058602645,507774859,44.1,48.4,45.4711,1.0105,0.0053,446.1821,86.6343,170.2562,649950,650668,650346.56,194.744,0,718,396.4,194.772,93,650,371.25,180.4645,6
4058602643,507774859,44.1,48.4,45.4711,1.0105,0.0053,446.1821,86.6343,170.2562,649950,650668,650346.56,194.744,0,718,396.4,194.772,93,650,371.25,180.4645,6
4058475643,507735270,42.9,50.2,45.5633,2.7434,0.0053,3.8089,0.9279,1.5172,651994,653107,652544.94,313.3154,0,1113,551.1429,313.356,109,786,452.2727,220.4846,3
4058565637,507557088,37.9,51.5,44.9725,3.7623,0.0053,7666.8384,1341.6761,2913.0781,595974,596761,596399.25,211.7048,0,787,425.4,211.6125,93,698,394,204.126,8
4058521615,507021712,3,9.6,5.6814,1.9931,0.0052,106757.414,13267.366,33939.89,172085,172993,172503.61,203.5287,0,908,418.1695,203.5869,108,651,379.5,185.3724,10
4058475645,506846173,21.3,32.5,26.1444,3.4647,0.0052,309.0399,80.0717,135.325,166203,166752,166478.78,133.8126,0,548,275.4815,133.74,56,443,253.4286,134.5573,7
4058565622,506810418,5.9,8,7.01,0.4475,0.0052,710.4276,150.3834,256.6213,143843,144539,144227.06,195.6413,0,696,384.3333,195.5567,108,551,336.125,149.7944,7
4058567642,506729840,1.7,5.6,2.6182,1.3252,0.0051,6.82,1.8864,2.976,136118,136427,136305.81,96.667,0,309,187.6364,96.6044,108,294,201,75.9342,3
4058602639,506769097,1.7,17.4,9.9286,6.6137,0.0051,167.0552,20.49,46.0895,126240,126766,126535.79,179.1608,0,525,295.5714,179.0091,56,111,83.5,27.5,4
4058567616,507427665,15.9,25.2,21.4846,3.8783,0.0053,49581.54,15139.326,22711.895,258931,259211,259082.92,69.5286,0,279,151.8462,69.3873,57,279,155.25,82.0316,9
4058567617,507180672,9.5,19.7,13.5111,2.9537,0.0052,50912.324,8657.898,18761.596,212787,213592,213257.83,213.8078,0,805,471.0222,213.7356,109,681,398.1429,191.1233,9
4058549291,506736480,62.3,82.3,70.6471,6.5194,0.0051,46.2309,7.7114,16.7928,567652,568196,567962.4,152.0182,0,544,310.2353,151.9869,108,488,292.8,131.2927,5
4058506298,506733588,54.4,82.4,66.5517,8.3945,0.0051,407.0001,54.2571,138.2912,434497,435347,434930.16,214.8522,0,850,433.2167,214.8999,108,655,355.25,183.2108,7
4058616136,507833894,76.3,80.9,78.3365,1.5235,0.0053,202.497,46.5714,85.0083,504494,505357,504973.78,226.7985,0,864,480.2115,226.7826,58,742,416.9167,211.4543,6
4058567007,507999819,80.5,82,81.2941,0.5139,0.0053,2.9932,0.6952,1.2356,521419,521913,521645.8,132.8707,0,495,227.0588,132.9788,58,231,144.5,64.3991,3
4058498130,507811042,70.6,72.9,71.5617,0.6812,0.0053,4421.4233,815.8851,1688.2081,481614,482460,482085.62,221.3038,0,846,471.5319,221.271,109,718,445.625,202.0352,7
4058586126,507757789,62.7,76.3,66.9174,3.5635,0.0053,60723.133,15840.638,26663.73,454305,454845,454567.7,137.1659,0,540,262.6957,137.1659,109,396,252.5,98.127,9
4058498127,507757789,62.7,76.3,66.9174,3.5635,0.0053,60723.133,15840.638,26663.73,454305,454845,454567.7,137.1659,0,540,262.6957,137.1659,109,396,252.5,98.127,9
4058555959,507922048,72.2,76.1,73.7592,1.1593,0.0053,1921.4739,431.326,801.6642,415017,415966,415483.2,250.7771,0,949,466.4082,250.7504,58,840,434.8182,246.5809,7
4058481643,506838905,43.2,63.7,53.908,6.6149,0.0052,30.3321,4.6418,10.6202,528824,529257,529084.4,111.3901,0,433,260.36,111.3901,108,365,227.25,98.9934,5
4058619292,506626679,17.7,63.5,30.2595,12.142,0.0051,319.5013,49.7862,111.8623,194011,195661,194933.55,418.9876,0,1650,922.2973,418.9687,108,1524,802.75,418.6964,6
4058506300,506626679,17.7,63.5,30.2595,12.142,0.0051,319.5013,49.7862,111.8623,194011,195661,194933.55,418.9876,0,1650,922.2973,418.9687,108,1524,802.75,418.6964,6
4058475635,507092344,31.7,35.9,32.7778,1.0443,0.0052,499.7824,25.9231,93.7771,459168,459865,459578.66,186.1556,0,696,410.1481,186.2169,93,681,382.1429,195.6969,4
4058547540,507186142,31.6,35,33.4929,1.161,0.0052,14.7107,3.1519,6.0234,466398,466723,466572.84,97.8942,0,326,175.3571,98.0055,109,326,217.3333,88.5902,4
4058453540,507186142,31.6,35,33.4929,1.161,0.0052,14.7107,3.1519,6.0234,466398,466723,466572.84,97.8942,0,326,175.3571,98.0055,109,326,217.3333,88.5902,4
4058461540,507257839,29.8,33,30.3143,1.1051,0.0108,14314.081,4559.647,6058.415,429141,429467,429312.16,102.793,0,326,171.4286,102.6184,109,201,155,46,8
4058481665,506962494,37.8,48.4,41.5148,2.4046,0.0052,1718.72,331.8548,658.4479,491579,493222,492360.7,470.144,0,1644,782.1728,470.2139,108,1310,700.3846,367.4971,7
4058565646,507426249,34.2,38.1,36.2154,1.3922,0.0053,1201.9607,339.5911,518.0407,505882,506358,506098.7,122.1131,0,476,217.1538,121.8788,109,294,201.6667,75.5263,7
4058475608,506952590,44.3,45.5,44.4895,0.4376,0.0056,44.6007,7.8771,14.9807,218549,219038,218777,132.0646,0,490,228.0526,132.1687,108,217,162.5,54.5,5
4058475605,506740454,63.1,64.4,63.36,0.52,0.0059,3.8158,1.9837,1.2294,579242,579567,579426.4,116.9147,0,324,184,116.619,108,324,216,88.1816,3
4058567613,506700948,15.4,28.6,21.1342,3.2222,0.0051,386.7309,97.5209,164.3016,106001,106835,106452.84,201.9654,0,834,452.0263,201.8963,93,819,461.625,238.0913,6
4058602640,506878118,38.5,57.2,45.3509,5.7722,0.0052,179.8981,30.8686,63.7996,176687,177762,177196.47,271.4899,0,1074,509.0377,271.5617,93,730,418.75,205.5497,6
4058521634,507006105,3.9,31.5,9.915,8.5264,0.0052,893.2907,137.8002,301.0704,179506,180144,179829.84,156.1151,0,639,324.275,156.1547,56,385,199.6,118.0315,7
4058521659,506984701,13.1,35.8,25.025,8.4234,0.0052,101.4948,25.3811,43.9391,188397,188613,188515.12,68.2394,0,217,118.5,68.4562,108,217,162.5,54.5,5
4058481656,507001534,16.6,35.6,26.2737,5.67,0.0055,572.6816,90.9843,207.6092,193985,194356,194168.11,89.8647,0,371,182.8421,90.0352,56,221,129.6667,68.5095,7
4058477651,507604439,41.4,48.2,45.0316,2.3477,0.0053,1.3406,0.3251,0.5305,619718,620355,620028.2,177.6322,0,637,310.3158,177.697,93,512,297.4,149.4183,3
4058481667,507604439,41.4,48.2,45.0316,2.3477,0.0053,1.3406,0.3251,0.5305,619718,620355,620028.2,177.6322,0,637,310.3158,177.697,93,512,297.4,149.4183,3
4058521653,507739457,41.9,49.4,46.6622,2.3507,0.0053,5.5604,1.1079,1.8668,639779,640502,640215.94,166.5834,0,723,436.8108,166.6238,109,723,390.2222,193.6766,4
4058481650,507739457,41.9,49.4,46.6622,2.3507,0.0053,5.5604,1.1079,1.8668,639779,640502,640215.94,166.5834,0,723,436.8108,166.6238,109,723,390.2222,193.6766,4
4058567657,507707803,41.9,50.7,45.1143,2.8475,0.0053,6913.0947,1481.382,2836.6047,632821,633131,633006.5,104.0177,0,311,186,104.3175,109,311,207.3333,82.5523,8
4058476660,507796070,56.3,60.6,58.2833,1.5392,0.0053,1.2186,0.3362,0.5216,656884,657326,657122.44,127.2221,0,442,238.4444,127.2221,109,391,255.2,104.0008,2
4058567644,507701435,48.6,63,54.5276,4.0171,0.0053,308.2753,53.1474,116.4145,633465,634057,633759.8,158.6635,0,592,294.7241,158.5788,109,338,223.6,81.0348,6
4058602634,508156470,95,99.1,96.5143,0.9301,0.0054,81.2523,15.5385,29.6748,576596,577864,577212.25,322.1399,0,1268,616.254,322.1501,58,1158,608.0833,344.3025,2
4058481641,508156470,95,99.1,96.5143,0.9301,0.0054,81.2523,15.5385,29.6748,576596,577864,577212.25,322.1399,0,1268,616.254,322.1501,58,1158,608.0833,344.3025,2
4058481646,508039386,85.4,88.1,86.7273,1.0296,0.0053,656.6323,179.0792,292.4067,542267,542543,542426.75,87.1948,0,276,159.7273,87.1948,109,225,167,47.3568,6
4058466445,506268456,7.1,17.8,12.4344,4.0123,0.005,211.5618,52.5434,90.9651,48559,49204,48852.688,141.077,0,645,293.4063,140.9069,107,523,289.7143,136.8907,6
4058618283,506270946,4.9,17.1,10.1102,3.9111,0.005,218.6129,35.8283,79.7439,45791,46690,46260.527,204.344,0,899,468.9661,204.4158,107,645,394.1111,171.9783,6
4058503135,507434918,41.1,43.6,42.4278,0.7203,0.0053,2203.4214,373.4158,813.245,331543,333085,332288.5,409.7867,0,1542,745.1852,409.8741,109,1490,843.6471,424.5223,7
4058567009,508312932,139.3,142.8,140.4133,1.1111,0.0054,33.3367,10.6238,15.0161,577328,577721,577520.75,103.1597,0,394,192.8,103.2894,58,291,174.6,82.449,4
4058579620,508681274,221.1,258.6,234.6684,11.315,0.0056,456.9107,86.5735,169.8984,645702,646241,645984.7,139.0131,0,540,282.7895,139.0863,110,295,202.3333,75.5263,6
4058595118,507757775,54.8,62.5,56.9033,2.6256,0.0053,68438.95,17167.85,26767.502,413440,414195,413834.6,182.6382,0,755,394.7667,182.5363,109,573,340.8333,158.4376,9
4058544127,507260844,29.7,32.3,30.4586,0.5885,0.0052,58.5906,9.8597,20.5452,318175,319875,319068,431.7339,0,1700,892.9063,431.6834,109,1539,818.2778,432.6605,5
4058567649,507114626,25.1,27.2,26.1297,0.597,0.0052,21775.803,3282.0396,7620.3955,276851,277615,277250.4,184.9883,0,764,399.2656,184.9681,109,764,442.75,205.369,9
4058521646,507081831,24.7,28.8,25.9964,0.9567,0.0052,21811.062,4349.2983,8411.876,270452,270978,270779,139.358,0,527,327.3214,139.5129,108,511,315.8,142.5306,9
4058475644,507061284,24.2,26.5,25.4111,0.7325,0.0052,25562.9,5680.6484,10627.503,266546,266763,266665.12,67.0761,0,217,119.1111,67.0761,108,217,162.5,54.5,9
4058586130,507039197,25.9,27.4,26.5556,0.6076,0.0052,0.9681,0.3238,0.439,262081,262483,262276.78,121.5646,0,402,195.7778,121.5646,93,185,139,46,2
4058498126,506992195,24.1,34.9,26.8045,3.1515,0.0052,26459.742,5907.832,10902.502,244744,245218,245007.73,134.4572,0,474,264.1818,134.3799,108,474,291.8,127.327,9
4058498133,506992195,24.1,34.9,26.8045,3.1515,0.0052,26459.742,5907.832,10902.502,244744,245218,245007.73,134.4572,0,474,264.1818,134.3799,108,474,291.8,127.327,9
4058475636,507028004,26.1,27.4,26.4722,0.3463,0.0052,428.1464,38.6529,122.2193,271995,274065,273079.16,532.5807,0,2071,1084.4812,532.6441,108,1150,595.5,331.4814,6
4058481618,507072777,24.2,32.4,24.4901,1.0408,0.0052,2147.3438,239.8673,474.3431,272102,273746,272869.4,385.8458,0,1643,766.989,385.8053,56,671,347.0909,191.9614,8
4058477628,507333361,28.4,32.4,30.278,1.3144,0.0052,352.3305,84.3911,144.343,346205,347084,346650.3,219.4196,0,879,445.76,219.4802,109,879,483.5,228.7843,6
4058521657,507041595,29.2,31.8,30.1473,0.6875,0.0052,1.9832,0.3949,0.7137,313000,314013,313588.25,270.8986,0,1013,587.9636,270.9332,56,723,389.6364,214.4415,2
4058475632,506906413,36.5,47.8,38.5149,2.0295,0.0052,38.0344,6.483,10.4019,389844,391068,390541.2,301.3223,0,1224,696.8966,301.3617,56,1003,549.1818,296.3646,5
4058477619,506915310,36.5,48.2,40.5174,3.9009,0.0052,1248.0929,336.9638,484.9051,373871,374366,374145.44,119.3238,0,495,274.1739,119.418,108,387,247.5,103.9772,7
4058565614,506882174,36.5,75.2,42.6174,9.2789,0.0052,21.0425,3.8,7.1398,381730,382259,381982.78,133.6875,0,529,252.913,133.7067,108,220,164,45.7238,4
4058521643,506800520,55.6,72.5,57.76,4.581,0.0052,7.0623,1.1516,1.3738,416301,416966,416681.47,175.3796,0,666,380.7714,175.4127,56,666,339.1818,184.344,3
4058632297,506264682,12.6,20.7,14.3647,2.3253,0.005,12.3862,2.8163,5.0166,64629,65219,64957.824,146.6387,0,591,329.2353,146.8232,54,591,322.2857,176.934,3
4058550300,506368874,1.8,3.1,2.0933,0.3855,0.005,85.5382,32.905,34.6895,58297,58752,58539,114.7205,0,455,242.3333,114.7302,108,401,250.5,108.7578,6
4058553291,506370906,3,11,4.4227,1.5745,0.005,88.5437,15.8916,31.9048,59083,60303,59826.742,341.0689,0,1219,743.5758,341.0273,93,1026,552.0909,294.5994,6
4058550284,506309824,4.6,13.4,8.1154,3.0435,0.005,52.5929,12.14,22.1374,76697,77020,76879.16,85.7975,0,323,182.4615,85.7309,93,278,185.6667,75.5263,5
4058632279,506331881,8.4,23.2,12.3302,4.3048,0.005,12.6367,2.4432,4.3791,102404,103183,102869.055,206.059,0,778,464.6604,206.0769,107,709,405.375,191.6142,4
4058531508,506616117,3,23.6,10.1214,5.7039,0.0051,129.1363,17.4448,43.098,15404,16110,15770.452,181.3101,0,706,366.4524,181.3101,108,540,324,152.7351,5
4058625498,506612200,3,13.8,5.7214,3.3156,0.0051,132.3389,34.7201,55.7859,14060,14332,14236.929,85.8865,0,271,176.5,85.7727,108,219,163.3333,45.3162,5
4058625502,506611422,2.7,8.4,4.605,1.6051,0.0051,136.6944,27.139,54.2598,13460,13839,13673.6,106.873,0,379,213.85,106.9347,108,274,191,61.9395,5
4058625499,506972563,13.7,15.3,14.2044,0.4392,0.0052,14552.974,3011.0122,5604.2764,99764,100567,100195.02,197.1299,0,803,431.3556,197.2109,108,642,395.625,174.8256,9
4058525517,506976496,13.8,17.6,15.0763,0.8477,0.0052,14548.185,2267.075,5227.4453,100644,103468,101959.93,789.8316,0,2824,1316.1921,789.8209,108,2259,1191.6154,636.4764,9
4058605516,506960119,12.2,21,15.586,2.6602,0.0052,14832.756,2301.8516,5264.7925,97003,97715,97367.98,178.0096,0,712,364.4884,178.0818,108,603,348,168.4636,9
4058524497,506898583,7.4,30.8,14.376,8.1166,0.0052,37191.734,8925.993,15883.867,72563,73003,72801.92,105.7937,0,440,239.12,105.8835,56,336,196,95.6382,10
4058561457,506372925,5.1,12,6.7931,1.8645,0.005,23.9284,3.8497,8.4895,47113,47597,47368.07,124.3366,0,485,255.4483,124.3792,93,415,254,120.0771,4
4058531514,507005318,21.7,28.6,23.0421,1.6903,0.0052,1350.009,248.7043,499.8977,83192,83626,83442.1,109.7211,0,434,250.3158,109.6958,108,418,267,116.1314,7
4058524502,506606743,1,5.9,2.0263,1.3495,0.0051,0.9556,0.1423,0.2804,9286,10828,10056.275,425.527,0,1542,770.325,425.5242,108,781,436.875,219.3692,2
4058495119,508415926,256.6,271.2,262.07,3.9336,0.0054,844.8929,155.181,314.7657,573564,574061,573787.25,128.766,0,497,223.05,128.7864,110,329,219.3333,89.4067,6
4058495120,509214374,93.1,101.5,95.6677,2.695,0.0055,22784.078,4449.0215,7957.205,605232,605691,605489.06,112.3472,0,459,257.0968,112.3116,60,349,209.2,106.4902,9
4058598961,507862186,101,107,103.6603,1.7048,0.0053,929.3347,171.6919,355.8433,456884,457948,457417.5,270.4769,0,1064,533.6825,270.4809,93,1042,569.1,299.5004,7
4058560947,507905482,81.3,82.6,81.9,0.4472,0.0053,180.4216,40.7947,71.1662,433525,433945,433744.62,141.1178,0,420,219.625,141.1178,109,218,163.5,54.5,6
4058497113,507636609,51.5,53.1,52.1583,0.5823,0.0053,1.2461,0.3237,0.519,358317,358595,358451.6,77.8101,0,278,134.9167,77.9962,93,278,185.3333,75.5263,2
4058497111,507394037,36,46.9,39.2167,3.9872,0.0053,89869.336,26527.754,37751.586,318280,318554,318396.5,86.5809,0,274,116.5,86.5809,109,109,109,0,10
4058463951,507878476,77,77.3,77.1667,0.1374,0.0053,17.6506,5.8225,8.1852,426615,426782,426730.34,63.6806,0,167,115.3333,63.6806,58,115,86.5,28.5,4
4058464952,508106045,230,262.3,238.1182,9.0649,0.0054,65.1567,23.7329,30.5786,444982,445426,445160.28,120.3737,0,444,177.6364,120.3029,109,283,196,64.846,4
4058541115,509072934,143.7,221.6,162.563,24.3526,0.0055,111.8618,11.1901,31.9793,682766,683554,683151.06,228.6846,0,788,385.2963,228.7334,110,220,165,55,5
4058524501,507273280,46.4,55.6,49.9465,2.2656,0.0052,255.6859,41.6159,94.3462,232674,233459,233148.38,203.3485,0,785,474.2558,203.3645,109,713,418.7143,201.4425,6
4058568503,507042621,46,54.5,49.185,2.9583,0.0052,481.9755,105.3887,191.1195,215516,216192,215791.7,164.5187,0,676,275.3,164.5652,93,314,216.25,81.6069,7
4058559304,506416192,25.5,28.8,26.9083,1.115,0.005,156.6186,32.6328,60.9776,96127,96650,96408.96,157.5395,0,523,281.9583,157.5395,108,523,311,147.9919,5
4058469470,506477023,3.5,30.2,13.4,8.027,0.0051,756.7286,151.1182,302.2108,50551,51256,50947.09,176.9671,0,706,396.2667,177.0479,55,600,339.1111,171.9538,7
4058553293,506422241,25.2,27.3,26.24,0.9002,0.005,271.967,108.6522,133.0605,87973,88083,88049.2,43.4069,0,109,76,43.2527,55,109,82,27,6
4058632290,506422241,25.2,27.3,26.24,0.9002,0.005,271.967,108.6522,133.0605,87973,88083,88049.2,43.4069,0,109,76,43.2527,55,109,82,27,6
4058550269,506424468,25.2,34.4,28.1941,2.5392,0.0051,291.0474,74.3141,121.4375,83430,84241,83804.3,193.4005,0,810,373.6765,193.3421,108,649,398.375,179.4094,6
4058561461,506423918,25.2,38.1,30.8685,3.3716,0.005,291.9942,39.3607,99.5522,82239,83631,82949.484,356.6138,0,1392,710.1982,356.7003,108,1244,702.4,331.0595,6
4058618287,506472307,6.7,35.4,19.3189,8.2717,0.0051,494.2222,93.4607,193.4582,58424,59875,59048,360.1206,0,1451,623.6486,360.1368,108,1033,577.7857,281.0435,6
4058621302,506355644,16.5,37.3,25.632,6.4402,0.005,90.7991,14.103,31.9883,124162,125821,124977.586,448.0162,0,1659,815.3093,448.0283,108,1226,628.6667,338.613,5
4058618289,506344273,13.8,19.1,15.7667,1.453,0.005,105.368,21.4612,40.7183,119416,119795,119615.555,110.4759,0,378,199.2222,110.3442,108,269,179.6667,66.9046,5
