"id","subc_id","outlet_dist_dw_basin_mean","outlet_dist_dw_scatch_mean","channel_dist_up_seg_mean","strahler","elev_mean"
"4058453540",507186142,"472114.6304","332.3283","249.9576","1.7931","34.2615"
"4058461540",507257839,"643885.3489","337.9567","255.6371","2.0311","119.1462"
"4058462953",508172953,"433405.0590","353.1951","253.7173","2.0820","331.8084"
"4058463951",507878476,"437031.1572","359.3617","286.2300","1.7653","89.0797"
"4058463953",508126854,"320506.6766","285.6463","201.3121","1.6957","101.4645"
"4058464947",507935796,"358246.1110","297.3584","223.2511","1.9592","78.0789"
"4058464952",508106045,"454335.6186","339.3102","248.3546","1.8670","365.9679"
"4058466443",506314737,"26317.3407","367.7567","265.3615","1.8832","45.4448"
"4058466445",506268456,"50839.7953","385.6436","299.1307","1.8000","20.8568"
"4058466468",506367400,"42298.6012","345.8672","257.0771","1.9332","45.6407"
"4058469449",506345057,"19933.9073","350.1529","272.1657","1.8529","25.5829"
"4058469460",506330492,"112216.3281","215.5653","150.3500","2.2500","21.6301"
"4058469461",506354950,"53054.4731","315.6058","217.2290","1.6250","43.9061"
"4058469467",506360643,"130269.9531","325.3478","332.1667","2.0000","25.8826"
"4058469470",506477023,"84508.6752","331.1011","248.8445","1.9944","40.1308"
"4058469475",506298995,"4927.3403","310.3023","235.2691","2.0000","17.8276"
"4058470950",507670803,"311366.2299","345.1511","271.3065","1.9987","92.2698"
"4058475605",506740454,"581028.2096","294.5325","203.1592","1.7059","92.3350"
"4058475608",506952590,"221956.7424","353.2178","259.7542","1.8511","66.7010"
"4058475632",506906413,"398255.8461","358.0311","268.0696","1.8902","48.4937"
"4058475635",507092344,"460728.6071","317.7501","248.6446","1.7143","34.6246"
"4058475636",507028004,"309756.3163","326.4384","251.6528","2.0040","54.9740"
"4058475643",507735270,"653507.9554","455.5352","353.1968","1.5714","48.0728"
"4058475644",507061284,"540476.3183","337.3257","255.8083","2.0308","92.6152"
"4058475645",506846173,"193028.9736","351.9845","259.3226","2.0284","63.0848"
"4058476642",507774859,"681739.5647","330.9958","256.1810","1.9856","84.6840"
"4058476646",507745870,"651728.8750","216.9000","195.0000","2.0000","47.4100"
"4058476660",507796070,"657832.8438","294.2145","209.4139","1.5000","59.6046"
"4058477619",506915310,"430136.4473","349.8564","259.5101","2.0282","67.5562"
"4058477628",507333361,"377635.3708","345.0316","271.0401","1.9853","58.4561"
