"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058480963,508845721,7.85,7.95,7.9444,0.0229,1101.6,1113.2,1102.2444,2.6571,10.9,11,10.9944,0.0229
4058473076,508555324,10.35,10.35,10.35,0,793.8,794.1,793.968,0.1489,9.6,9.7,9.644,0.0496
4058605001,508939399,7.85,7.95,7.8929,0.0495,965.9,973.8,969.2857,3.9095,10.9,11,10.9429,0.0495
4058474973,508400665,10.45,10.55,10.5354,0.0353,875.8,882.7,878.4683,1.7789,11.3,11.3,11.3,0
4058524070,508303432,9.95,10.05,10.0315,0.0388,1056.8,1089.4,1072.0815,6.6158,11.5,11.5,11.5,0
4058605288,508767463,9.95,10.05,9.9581,0.0273,682.2,685.3,682.7865,0.9192,13.2,13.6,13.3973,0.1404
4058483322,508927406,8.75,8.85,8.81,0.049,759.8,772.7,767.44,5.3244,7.6,7.9,7.76,0.0952
4058475035,508966648,8.15,8.35,8.27,0.0668,850.9,874.3,860.1343,8.2177,7.9,8.2,8.0657,0.1145
4058610320,508993597,8.25,8.45,8.3886,0.0518,820.2,840.4,822.1236,3.8957,7.9,8.2,7.9496,0.0686
4058487039,509641248,9.25,9.65,9.5716,0.1398,966.1,994.2,977.4703,8.2786,12.7,12.7,12.7,0
4058611047,509736582,9.85,10.15,10.0763,0.0802,910.7,924.3,915.7038,4.6584,13.7,13.9,13.7663,0.0688
4058611053,509694907,9.85,9.95,9.9375,0.0331,950.4,962.4,951.9,3.9686,14,14,14,0
4058576039,509696525,9.75,9.85,9.8273,0.0419,912.4,918.7,915.0682,2.0008,13.9,13.9,13.9,0
4058571141,508504361,10.35,10.45,10.3616,0.0321,915.1,935,929.586,6.9807,10.7,10.8,10.7884,0.0321
4058580320,508338409,9.35,9.65,9.3667,0.0687,1262.1,1269.2,1268.7444,1.6515,12.8,12.9,12.8056,0.0229
4058473067,508314974,9.25,9.35,9.3444,0.0229,1280.2,1283.5,1280.3833,0.7559,13,13.1,13.0056,0.0229
4058571211,508323008,9.15,9.25,9.1961,0.0498,1292,1296.4,1293.4888,1.6143,13.5,13.6,13.5487,0.05
4058605085,508415881,9.35,9.35,9.35,0,1265.5,1271.6,1267.025,2.6414,14.1,14.2,14.175,0.0433
4058475208,508415881,9.35,9.35,9.35,0,1265.5,1271.6,1267.025,2.6414,14.1,14.2,14.175,0.0433
4058524054,508790000,9.95,9.95,9.95,0,803.5,827.5,824.8333,7.5425,11.9,12.1,11.9222,0.0629
4058473259,508239731,9.05,9.35,9.2519,0.0843,1194.6,1215.4,1207.4192,9.6261,13.9,14.1,13.9846,0.0568
4058481212,508570347,9.05,9.25,9.2083,0.0812,1254.9,1270.3,1258.1083,6.2542,14.9,15,14.9208,0.0406
4058475158,508679865,8.35,8.65,8.5341,0.1281,1031.4,1052,1041.9146,9.3545,15.6,15.8,15.6855,0.0856
4058605229,508632661,8.55,8.85,8.7455,0.1107,1147.8,1181.7,1164.6772,13.2385,16.4,16.5,16.4864,0.0343
4058580350,508319438,8.15,8.15,8.15,0,1166.7,1166.7,1166.7,0,15.4,15.4,15.4,0
4058575344,508405104,8.05,8.05,8.05,0,1260.9,1260.9,1260.9,0,17.1,17.1,17.1,0
4058474259,508245479,8.35,8.35,8.35,0,1157.7,1157.7,1157.7,0,12.9,12.9,12.9,0
4058610313,508109543,9.45,9.45,9.45,0,988.4,996.8,992.4174,4.196,11,11,11,0
4058571250,508305584,8.15,8.95,8.7233,0.1611,1118.6,1127.8,1122.24,1.7217,14.9,15.1,15.0833,0.0522
4058481160,508325837,8.45,8.75,8.7278,0.0711,1167.2,1189.9,1168.9388,5.4509,15.3,15.5,15.3111,0.0458
4058473162,508289985,8.55,8.85,8.838,0.0588,1152,1168.6,1159.172,8.0807,14.8,14.9,14.896,0.0196
4058524165,508268353,8.45,8.85,8.7218,0.1501,1254.3,1303.9,1287.482,17.8911,14.8,15,14.8974,0.1
4058481299,508327288,8.15,8.25,8.1682,0.0386,1367,1368.6,1368.3091,0.6171,16.5,16.7,16.5364,0.0771
4058524001,508132448,9.45,9.45,9.45,0,1028.3,1028.3,1028.3,0,12.1,12.1,12.1,0
4058481155,508353495,8.45,8.45,8.45,0,1320.2,1328.4,1322.25,3.5507,17.1,17.1,17.1,0
4058605172,507399863,9.85,9.85,9.85,0,834.5,838.7,836.3079,1.6202,13.8,13.8,13.8,0
4058487497,507910057,9.55,9.65,9.648,0.0139,635,637.2,636.0098,0.4117,23.5,23.5,23.5,0
4058526685,508426866,8.35,8.45,8.3892,0.0488,741.6,770.8,758.1308,8.8453,22.6,22.8,22.6731,0.0605
4058626807,508438856,8.55,8.55,8.55,0,725.5,725.5,725.5,0,23.2,23.2,23.2,0
4058529700,508593124,8.15,8.15,8.15,0,679.2,679.2,679.2,0,23.5,23.5,23.5,0
4058576627,508550619,8.05,8.05,8.05,0,729.5,729.5,729.5,0,22.7,22.7,22.7,0
4058532719,508411038,8.65,8.65,8.65,0,774.4,779.7,778.8167,1.9752,21.6,21.7,21.6167,0.0373
4058514445,506570161,8.75,8.85,8.7818,0.0466,573.4,582,579.0388,3.3506,19.5,19.6,19.58,0.04
4058484504,507602405,9.65,9.65,9.65,0,554.7,555.9,555.26,0.5987,18.9,19,18.9467,0.0499
4058573492,507541845,9.75,9.75,9.75,0,556.5,556.5,556.5,0,19,19,19,0
4058484511,506649744,8.65,8.75,8.7258,0.0428,571.3,575.9,573.9147,1.226,18.8,19,18.9116,0.038
4058576668,508468512,8.85,8.85,8.85,0,791,796.1,795.6364,1.4661,22.9,23,22.9909,0.0287
4058530507,508169665,9.55,9.55,9.55,0,656.7,657.9,657.1154,0.5709,20,20,20,0
4058529837,508447957,8.95,9.25,9.0763,0.116,745.7,765.7,755.5797,7.7783,23.7,23.9,23.7881,0.0815
4058576538,508721690,5.65,5.95,5.8606,0.0994,1052.4,1074.2,1068.7701,7.286,22.9,23,22.9553,0.0497
4058527698,508549119,8.05,8.25,8.15,0.0365,850.6,857.4,853.6378,2.0412,21.7,21.9,21.8156,0.0514
4058532673,508510334,8.45,8.75,8.6824,0.1209,814.7,825.2,816.1946,2.8754,22.3,22.5,22.4892,0.0452
4058532590,508685988,8.05,8.05,8.05,0,895.2,895.2,895.2,0,19.7,19.7,19.7,0
