"id","subc_id","bio1_mean","bio12_mean","bio15_mean"
4058576737,508581860,7.881,870.8862,21.1931
4058633622,506425890,8.9477,743.5409,17.1023
4058569626,506338571,8.85,866.4769,17.8385
4058532689,508800414,8.6409,723.5864,22.9045
4058628028,508831543,8.1385,739.9423,16.0923
4058583275,508077190,8.65,587.8696,12.9
4058591685,509145175,9.95,773.8238,11.1
4058474259,508245479,8.35,1157.7,12.9
4058616678,508440180,9.1065,723.4605,18.8
4058618640,508720226,8.8125,786.9708,10.9583
4058475158,508679865,8.5341,1041.9146,15.6855
4058527740,508585357,7.8591,870.0182,21.1091
4058479648,506349753,8.85,870.3,17.6
4058580350,508319438,8.15,1166.7,15.4
4058626646,508527428,8.6318,825.9909,19.6
4058583178,508761078,6.7976,946.0619,10.6762
4058605172,507399863,9.85,836.3079,13.8
4058571141,508504361,10.3616,929.586,10.7884
4058530460,506795414,8.9384,617.2488,16.6
4058532673,508510334,8.6824,816.1946,22.4892
4058480963,508845721,7.9444,1102.2444,10.9944
4058532590,508685988,8.05,895.2,19.7
4058530507,508169665,9.55,657.1154,20
4058624518,506267882,8.65,880.2463,21.8073
4058524070,508303432,10.0315,1072.0815,11.5
4058509681,509200252,9.0143,1003.0214,12.4179
4058524054,508790000,9.95,824.8333,11.9222
4058572625,506362270,8.8167,912.7333,18.2833
4058527848,508520244,8.9825,753.005,19.515
4058635049,509004520,8.2624,964.4287,13.6233
4058483322,508927406,8.81,767.44,7.76
4058603549,507883679,8.9711,535.9316,19.2211
4058605229,508632661,8.7455,1164.6772,16.4864
4058491229,508821771,6.5424,1143.8698,12.1439
4058596579,508919859,9.5314,755.2586,9.5
4058505569,508392655,8.06,848.0533,12.2767
4058481160,508325837,8.7278,1168.9388,15.3111
4058573492,507541845,9.75,556.5,19
4058481212,508570347,9.2083,1258.1083,14.9208
4058605085,508415881,9.35,1267.025,14.175
4058575127,508295706,9.05,548.8526,19.5641
4058529837,508447957,9.0763,755.5797,23.7881
4058624571,506314760,9.2192,669.2423,18.9538
4058572533,506455819,8.9367,876.9333,15.6
4058478720,506338571,8.85,866.4769,17.8385
4058504676,509132195,9.7682,892.4636,10.7455
4058565280,508106045,8.8318,1068.4456,10.9
4058473162,508289985,8.838,1159.172,14.896
4058484504,507602405,9.65,555.26,18.9467
4058618702,508464159,8.3275,861.7,13.9075
4058527698,508549119,8.15,853.6378,21.8156
4058473076,508555324,10.35,793.968,9.644
4058625884,506612200,9.25,848.75,16.5
4058610313,508109543,9.45,992.4174,11
4058532529,509031839,6.4421,1087.15,16.8697
4058572636,506415335,8.95,911.5,16.9
4058479820,506598133,9.05,756.0667,14.8967
4058576538,508721690,5.8606,1068.7701,22.9553
4058481275,508278556,8.0629,1275.8741,13.4565
4058605022,508091353,9.08,764.38,12.3
4058576746,508976500,7.9331,716.3507,20.0394
4058576648,508879977,7.6935,889.3,20.5435
4058603530,507806777,9.05,580.7948,18.1362
4058575229,508813976,8.15,679.4,22.6
4058474973,508400665,10.5354,878.4683,11.3
4058479671,506271190,8.85,812.2206,18.9
4058558440,506374768,8.8451,679.9268,19.1049
4058571135,507630512,9.55,850,13
4058580117,508654243,9.3808,624.5923,23.7692
4058532776,508800427,8.35,839.0313,20.8063
4058529700,508593124,8.15,679.2,23.5
4058583223,508649297,8.05,740,13.6
4058563748,506435681,8.8933,888.7367,16
4058576836,508672714,6.986,894.208,20.6
4058633695,506598133,9.05,756.0667,14.8967
4058622428,506413835,8.95,687.18,18.4
4058624662,506244077,8.65,879.4318,23.1409
4058572565,506404396,8.95,900.533,16.8
4058473067,508314974,9.3444,1280.3833,13.0056
4058524121,507879249,9.219,897.5793,13.469
4058504690,508546811,8.534,763.0604,12.6358
4058510707,508368786,8.7658,626.2158,13.3474
4058474954,508087086,8.3326,952.6826,10.9087
4058505687,508346409,8.65,798.5,12.8
4058506528,508122829,8.95,542.6429,15.2857
4058505550,508720203,9.3891,758.5266,11.7047
4058628090,508373998,9.25,567.7103,22.4
4058514445,506570161,8.7818,579.0388,19.58
4058579992,508668483,6.9399,1045.2456,10.7494
4058606646,509014035,7.5347,841.0736,17.2972
4058596705,508454003,8.65,735.5,12
4058633524,506234462,8.65,899.3,23.1
4058633619,506403829,8.8929,893.2143,16.7821
4058627952,508851876,7.2429,1061.4071,13.1643
4058610320,508993597,8.3886,822.1236,7.9496
4058487497,507910057,9.648,636.0098,23.5
4058580050,508767592,8.2629,708.7855,11.2839
4058505670,509011474,8.9318,980.3159,12.8182
4058505657,509421122,10.15,836.84,9.5
4058491101,508655547,8.83,681.48,12.22
4058627924,508818468,8.5054,685.5804,11.7
4058526685,508426866,8.3892,758.1308,22.6731
4058572425,506415335,8.95,911.5,16.9
4058634924,508236277,9.25,575.975,17.825
4058481188,507730195,9.25,934.6,14.3
4058626721,509010338,7.55,816.5727,19.2864
4058626778,508510329,8.5427,805.8756,21.461
4058481155,508353495,8.45,1322.25,17.1
4058624438,506562816,8.95,824.6,15.3
4058571654,506313498,8.85,870.2,24
4058526767,508775358,8.55,819.9871,21.3742
4058635091,508930093,6.9342,1177.1316,13.6895
4058569518,506286574,8.75,883.1914,20.9257
4058592569,507444172,9.6405,563.8238,20.4571
4058633425,506345803,9.0393,718.0907,17.736
4058573457,506826096,9.15,645,16.7
4058606528,508883249,6.2833,890.4564,18.9
4058573480,507547330,9.65,553.6714,17.7429
4058475035,508966648,8.27,860.1343,8.0657
4058605001,508939399,7.8929,969.2857,10.9429
4058571856,506397863,8.9016,896.4935,16.6935
4058606609,508772126,8.6247,811.1926,21.2895
4058491279,508802362,7.35,1024.7,11.6
4058530465,506831319,9.15,639.1,16.7
4058611053,509694907,9.9375,951.9,14
4058571192,507964690,9,952.55,12.6
4058510588,508394109,8.25,798.225,12.3036
4058509568,508401507,8.62,808.555,13.135
4058548522,508622153,8.9545,716.1,12.7045
4058484511,506649744,8.7258,573.9147,18.9116
4058572514,506242485,8.5769,899.2164,22.7806
4058576039,509696525,9.8273,915.0682,13.9
