"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","outlet_dist_dw_basin_min","outlet_dist_dw_basin_max","outlet_dist_dw_basin_mean","outlet_dist_dw_basin_sd","outlet_dist_dw_scatch_min","outlet_dist_dw_scatch_max","outlet_dist_dw_scatch_mean","outlet_dist_dw_scatch_sd","channel_dist_up_seg_min","channel_dist_up_seg_max","channel_dist_up_seg_mean","channel_dist_up_seg_sd","strahler"
4058480963,508845721,443.2,514,478.5778,23.0836,0.0055,6.034,0.9046,2.0227,390095,390475,390329.56,96.3998,0,380,234.5556,96.3998,93,295,191,82.5752,3
4058473076,508555324,75.8,80.6,78.12,1.5631,0.0054,1446.1465,347.0674,617.5897,304949,305505,305274.2,151.0393,0,556,324.92,150.9765,93,556,324.5,158.3401,7
4058605001,508939399,452.2,489.8,463.6286,11.6042,0.0071,17.2493,4.9431,7.583,404758,404927,404850.84,48.4751,0,169,93,48.4739,110,220,165,55,4
4058474973,508400665,30.6,47.2,34.6854,5.2035,0.0054,136807.66,23668.684,47268.926,337179,337895,337543.62,189.5577,0,716,364.5122,189.6137,110,438,274,122.3131,10
4058524070,508303432,71,130.8,100.1204,20.5085,0.0054,69.2322,10.233,22.8431,339110,339722,339440.5,144.199,0,613,330.8148,144.2597,109,613,342.7143,172.3938,5
4058605288,508767463,154.3,158.3,155.6459,1.2695,0.0054,14.0283,3.0612,5.4234,395601,396395,396006.66,216.2201,0,793,405.5946,216.1738,93,717,400.2857,206.1842,5
4058483322,508927406,297.8,382.8,332.5967,28.4615,0.0055,16.4643,3.0367,5.89,484008,484609,484280.84,145.1801,0,600,272.4667,145.181,110,389,249.5,100.8229,4
4058475035,508966648,387.8,440.8,411.6457,15.7443,0.0063,27.9594,3.785,9.201,507983,508795,508343.94,195.6419,0,812,360.9429,195.6419,110,533,319.8,148.4094,5
4058610320,508993597,352.6,479.5,407.9827,34.7669,0.0055,10.6335,1.0401,3.0372,501577,502982,502350.22,336.4926,0,1405,773.4252,336.5187,110,1117,592.4167,307.6065,3
4058487039,509641248,166.5,341.2,264.4081,50.0398,0.0056,6906.5273,188.6987,1119.6497,727100,728088,727568.1,242.6685,0,988,467.8919,242.7001,60,545,300.3333,165.4284,4
4058611047,509736582,184.1,266.2,204.1369,21.6375,0.0056,1331.5862,210.184,481.7243,756720,758932,757836.3,573.3249,0,2212,1116.025,573.3238,111,2069,1074.7083,564.1561,7
4058611053,509694907,204.1,214.7,209.5813,2.8009,0.0056,467.7252,116.9149,186.9341,769192,769617,769436.9,116.2115,0,425,244.625,116.1986,111,407,258.75,111.7685,6
4058576039,509696525,224.1,272.9,237.8455,15.978,0.0067,121.4753,31.166,51.4059,776816,777370,777084,151.1871,0,553,267.6364,151.1067,111,443,276.75,123.7667,5
4058571141,508504361,54,66.5,60.2209,3.7151,0.0054,7.8041,1.6165,3.1247,372890,373614,373331.47,198.1528,0,724,441.1395,198.18,59,629,332.4444,188.9239,3
4058580320,508338409,159.3,255.6,217.3028,25.3077,0.0054,0.1379,0.0245,0.0306,388262,388961,388644.84,167.0955,0,699,383.1944,167.2096,58,277,167.6667,89.4067,1
4058473067,508314974,188.5,232,207.8389,13.9217,0.0061,9.0202,1.7502,2.8013,392269,392715,392511.06,115.0538,0,446,242.0556,115.0538,93,371,231.75,103.6421,3
4058571211,508323008,199.6,288.9,239.504,23.2284,0.0054,10.6336,1.176,3.1433,394754,396407,395643.22,394.4964,0,1654,889.3882,394.5872,58,1356,729.8333,399.6471,4
4058605085,508415881,180.9,200.9,190.35,9.482,0.0063,10.0619,4.1959,4.3518,384903,385013,384972.75,45.3342,0,110,69.5,45.3955,110,110,110,0,4
4058475208,508415881,180.9,200.9,190.35,9.482,0.0063,10.0619,4.1959,4.3518,384903,385013,384972.75,45.3342,0,110,69.5,45.3955,110,110,110,0,4
4058524054,508790000,98.4,183.8,127.5389,25.04,0.0055,6.1288,1.0312,2.2685,420628,421236,420899.84,171.1021,0,608,271.8333,171.1021,110,330,220,89.8146,3
4058473259,508239731,181.6,262,214.6942,24.5522,0.0054,82.4127,9.5089,26.2664,387024,388067,387513.88,252.1436,0,1043,490.3269,252.1873,58,554,297.6667,167.4303,5
4058481212,508570347,198.1,251.6,218.4542,15.3711,0.0054,5.0987,0.6585,1.6353,449532,450232,449875.1,207.7201,0,700,342.7917,207.7398,93,312,202.3333,89.4067,3
4058475158,508679865,244.9,361,276.2217,31.3778,0.0054,106.3315,16.3987,36.9315,519752,520763,520248.28,249.1959,0,1011,496.1159,249.1241,59,690,369.2,191.6428,5
4058605229,508632661,216.4,281.4,235.95,20.6912,0.0058,442.4658,80.4457,170.6146,526374,527082,526731.75,208.9898,0,708,357.5455,209.1547,93,388,240.25,111.3135,6
4058580350,508319438,266.8,411.7,303.925,42.3193,0.0064,11.8503,3.4446,5.1671,436823,437286,437034.44,120.4019,0,463,211,120.4684,58,233,145.5,65.2936,3
4058575344,508405104,322.9,387,352.0667,26.4845,0.0069,5.0608,1.6932,2.3813,461576,461796,461686,89.8146,0,219,109.6667,89.4067,58,58,58,0,3
4058474259,508245479,319.6,344.4,328.3955,6.1212,0.0069,7.6918,1.7929,2.7632,448791,449305,449058.4,128.0325,0,514,267.4091,128.0325,93,480,284.8,138.2366,3
4058610313,508109543,152,163.3,157.0304,4.067,0.0054,464.3143,141.3092,213.6178,423369,423877,423683,130.3594,0,508,314.2609,130.3011,58,492,251.5714,143.0623,6
4058571250,508305584,208.8,302.8,232.0033,25.4812,0.006,94.4388,17.7829,35.7153,432942,433750,433327.1,197.7206,0,808,384.8333,197.6922,109,514,318.2,143.2528,5
4058481160,508325837,240.2,276,252.3778,11.3004,0.0054,32.3935,4.7578,10.4912,436547,437094,436810.06,130.8708,0,547,263.0556,130.8708,109,277,201.6667,69.6722,4
4058473162,508289985,201.3,326.5,245.724,38.3274,0.0054,78.2206,12.5009,28.0857,421642,422635,422090.03,206.8171,0,993,448.36,206.8679,109,757,422.625,218.4221,5
4058524165,508268353,214.1,346.3,257.7051,40.4937,0.0059,26.6036,4.7551,9.6624,407519,408402,407958.34,202.9449,0,884,439.5385,202.9882,109,590,355.1667,162.6094,5
4058481299,508327288,344.2,385.5,355.3364,11.2026,0.0054,4.8911,1.4363,2.1141,406512,406854,406675.9,97.9132,0,342,164.1818,97.9293,58,175,116.3333,47.7656,3
4058524001,508132448,174.8,180.3,176.6,1.5678,0.0054,6.0278,1.8594,2.5651,402870,403198,403029.2,89.2265,0,328,159.5,89.4251,58,225,150,69.2291,3
4058481155,508353495,295.5,333,307.8188,13.0947,0.0055,45.1562,8.548,17.5384,406798,407295,407043.5,130.4966,0,496,245.3125,130.3815,110,312,213.6667,82.5523,5
4058605172,507399863,33.6,42.1,38.3891,1.6819,0.0053,19.7052,2.5744,6.3778,185404,187044,186211.47,417.8069,0,1640,807.3861,417.8278,109,1475,794.0714,421.8628,4
4058487497,507910057,84.1,90.1,85.9902,1.1369,0.0053,2725.166,480.8968,1038.7614,728841,729618,729255.5,193.7373,0,776,414.0392,193.6738,109,725,442.7778,194.2529,7
4058526685,508426866,276.6,316.6,296.4746,9.4623,0.0054,20.5545,2.5022,5.6272,819578,821429,820656.2,482.1584,0,1851,1077.7845,482.1148,110,1724,858.7368,501.6927,4
4058626807,508438856,260.6,265.5,262.8,1.7111,0.0054,24.1204,5.4398,9.412,816971,817191,817077.6,69.9016,0,219,106.4,69.5776,110,110,110,0,5
4058529700,508593124,309.5,321.2,316.0889,4.3674,0.0065,10.6144,2.3744,4.3925,883345,883564,883471,73.3863,0,219,126.5556,73.156,110,219,164.5,54.5,4
4058576627,508550619,354.3,366.6,360.3889,4.208,0.0083,20.1468,4.4345,8.2548,894940,895218,895089.56,82.8212,0,278,149.5556,82.8212,59,168,113.5,54.5,4
4058532719,508411038,263.4,292.4,273.3729,7.9158,0.0054,16.753,3.7947,6.8951,650980,651752,651391.4,187.9664,0,772,411.3542,187.9861,58,693,378.0909,207.1185,4
