"id","subc_id","elev_mean","flowpos_mean","outlet_dist_dw_basin_mean","outlet_dist_dw_scatch_mean","channel_dist_up_seg_mean","?column?"
4058473067,508314974,207.8389,1.7502,392511.0625,242.0556,231.75,NA
4058473076,508555324,78.12,347.0674,305274.1875,324.92,324.5,NA
4058473162,508289985,245.724,12.5009,422090.0313,448.36,422.625,NA
4058473259,508239731,214.6942,9.5089,387513.875,490.3269,297.6667,NA
4058474035,508370974,420.3929,1.161,486757.75,713.0796,467.3077,NA
4058474233,507668126,64.8739,7.1845,295040.2188,379.2826,380.5,NA
4058474259,508245479,328.3955,1.7929,449058.4063,267.4091,284.8,NA
4058474954,508087086,300.7435,8.477,508732.75,241.913,184.2,NA
4058474973,508400665,34.6854,23668.6836,337543.625,364.5122,274,NA
4058475035,508966648,411.6457,3.785,508343.9375,360.9429,319.8,NA
4058475158,508679865,276.2217,16.3987,520248.2813,496.1159,369.2,NA
4058475208,508415881,190.35,4.1959,384972.75,69.5,110,NA
4058475212,507847233,99.3,3.5002,454329.8438,222.4211,234.25,NA
4058478720,506338571,12.4385,19.3227,81641.7656,142.7692,179.3333,NA
4058478845,506245341,15.2848,2.2718,4754.7827,459.6522,405.8571,NA
4058479639,506594631,18.8,86.7867,62627.4531,192.5455,200.6667,NA
4058479648,506349753,16.2,8.004,76106.6016,86.4,81.5,NA
4058479671,506271190,17.4824,7.4502,5688.647,364.6471,376.5,NA
4058479820,506598133,26.205,8.7983,111346.0859,576.2833,575.0909,NA
4058480963,508845721,478.5778,0.9046,390329.5625,234.5556,191,NA
4058481155,508353495,307.8188,8.548,407043.5,245.3125,213.6667,NA
4058481160,508325837,252.3778,4.7578,436810.0625,263.0556,201.6667,NA
4058481188,507730195,125.8,49.8004,332743.5,77.75,57,NA
4058481212,508570347,218.4542,0.6585,449875.0938,342.7917,202.3333,NA
4058481275,508278556,349.5323,2.3979,477944.7188,492.7581,445.75,NA
4058481299,508327288,355.3364,1.4363,406675.9063,164.1818,116.3333,NA
4058483322,508927406,332.5967,3.0367,484280.8438,272.4667,249.5,NA
4058484504,507602405,56.9511,65.6091,461817.4375,441.0222,423.6667,NA
4058484511,506649744,52.7411,7.5437,105221.0938,729.4947,622.2143,NA
4058486109,508174453,275.9784,6.483,415661.5,646.7568,484.5556,NA
4058486114,508559759,250.9037,9.8447,637877.5625,717.9756,524.0769,NA
4058487039,509641248,264.4081,188.6987,727568.125,467.8919,300.3333,NA
4058487463,506704200,75.348,15.7762,274760.8438,324.64,208.8,NA
4058487497,507910057,85.9902,480.8968,729255.5,414.0392,442.7778,NA
4058491101,508655547,241.015,381.6761,632924.625,220.85,236,NA
4058491229,508821771,677.7697,0.3413,704645.75,434.3333,437.5,NA
4058491247,508699277,384.4772,4.3978,741924.4375,464.1228,503.3333,NA
4058491279,508802362,492.6072,4.1196,708367.9375,234.4286,249,NA
4058504602,509204608,283.13,4.6577,805572.1875,208.45,187,NA
4058504676,509132195,131.7,121.371,666607.8125,137.7273,165,NA
4058504690,508546811,294.8613,1.3148,554552.5,725.7453,615,NA
4058505550,508720203,177.3531,2.9798,652072.625,701.4375,630.6875,NA
4058505569,508392655,357.5733,4.1566,540152.9375,294.9333,257,NA
4058505657,509421122,163.98,41.0505,699341.1875,230.6,231.75,NA
4058505664,508639641,198.5412,52.5428,687532.1875,600.2206,672.0833,NA
4058505670,509011474,287.2364,1.2381,692828.375,401.2045,302.4,NA
4058505687,508346409,254.92,4.6631,506466,99.6,139,NA
4058506528,508122829,152.6857,169.7895,662278.8125,363.0571,400.5714,NA
4058509568,508401507,271.14,7.3717,519617.375,566.25,400.5833,NA
4058509648,508849157,459.5514,4.9575,645638.75,459.6757,165,NA
4058509681,509200252,294.0714,3.4403,806083.9375,332.0357,278,NA
4058510588,508394109,334.8214,21.6866,586636.5,324.2143,205.8,NA
4058510707,508368786,227.7421,6.5011,530392.375,230.1053,164.5,NA
4058510708,508661715,230.2333,19.2978,569628,144,117.3333,NA
4058514445,506570161,32.5235,42.3784,178723.3125,709.4588,543.3333,NA
4058515461,506533695,20,13.6195,175791.4375,222.4375,217,NA
4058519450,506453559,30.861,9.4293,114350.0234,335.878,368.1111,NA
4058523955,507604273,87.6366,1.9752,265108.4688,986.6338,921.0385,NA
4058524001,508132448,176.6,1.8594,403029.1875,159.5,150,NA
4058524053,508497973,364.1563,103.7934,621878.9375,223.875,244.25,NA
4058524054,508790000,127.5389,1.0312,420899.8438,271.8333,220,NA
4058524070,508303432,100.1204,10.233,339440.5,330.8148,342.7143,NA
4058524121,507879249,153.2552,2.475,387529.4063,346.6207,317.4,NA
4058524165,508268353,257.7051,4.7551,407958.3438,439.5385,355.1667,NA
4058526685,508426866,296.4746,2.5022,820656.1875,1077.7845,858.7368,NA
4058526767,508775358,326.7936,1.6617,663202.8125,502.0484,339.4,NA
4058527698,508549119,360.8067,2.3941,647042.3125,372.6222,349.8333,NA
4058527740,508585357,403.3591,14.808,650826.5,269.7727,270,NA
4058527848,508520244,262.8675,3.198,606877.75,388.275,372.1111,NA
4058529700,508593124,316.0889,2.3744,883471,126.5556,164.5,NA
4058529837,508447957,206.6763,1.1608,625825.875,800.8644,573.3571,NA
4058530460,506795414,66.4953,16.8875,256053.4688,439.6047,240.8,NA
4058530465,506831319,36.05,318.4034,235500.5,54,56,NA
4058530507,508169665,115.3538,53.7308,588422.3125,263.4615,283,NA
4058530512,506819002,41.575,20.9839,233990.4219,201.1667,216.3333,NA
4058532529,509031839,672.6303,0.4257,747751.8125,595.4605,324,NA
4058532590,508685988,369.8333,2.4786,660236.3125,167.1111,156,NA
4058532642,508742803,306.3373,2.1207,656441.0625,550.9254,510,NA
4058532673,508510334,251.4487,3.8893,642250.3125,428.2703,380.1429,NA
4058532689,508800414,303.9136,41.1107,676895.1875,199.9091,160.25,NA
4058532719,508411038,273.3729,3.7947,651391.375,411.3542,378.0909,NA
4058532776,508800427,335.8125,9.0953,667003.625,262.625,202.6667,NA
4058548522,508622153,235.4182,378.3992,602393.5625,283.7273,196.6667,NA
4058558440,506374768,15.7244,7.4872,65720.6797,371.0488,301.6,NA
4058563748,506435681,16.3833,33.0177,76605.5,319.0333,357,NA
4058565280,508106045,238.1182,23.7329,445160.2813,177.6364,196,NA
4058569518,506286574,3.9714,6.1838,65273.8555,334.5143,278.4286,NA
4058569626,506338571,12.4385,19.3227,81641.7656,142.7692,179.3333,NA
4058569632,506401514,12.1897,42.6906,75818.0234,412.0256,305.2,NA
4058571135,507630512,95.1879,2.1408,272474.3125,453.3333,472.125,NA
4058571141,508504361,60.2209,1.6165,373331.4688,441.1395,332.4444,NA
4058571192,507964690,173.6,10.3538,386412.9063,123.2,86.5,NA
4058571211,508323008,239.504,1.176,395643.2188,889.3882,729.8333,NA
4058571250,508305584,232.0033,17.7829,433327.0938,384.8333,318.2,NA
4058571654,506313498,1.5714,645.2123,14873.1426,187.1429,139.5,NA
4058571856,506397863,15.7484,39.6336,80770.4219,295.5806,235.3333,NA
4058572420,506305637,10.4143,7.1633,78897.7344,398.4898,338.4286,NA
4058572425,506415335,6.4972,114.8767,67515.7813,358.3889,297.3333,NA
4058572429,506451745,14.2522,12.0293,75360.7813,570.8986,502.4,NA
4058572447,506314046,28.1772,13.7444,14257.4551,736.1683,570.1429,NA
4058572452,506372158,5.165,5.3179,46841.6484,306.45,254.25,NA
4058572514,506242485,18.3985,17.8593,47142.5977,566.4627,504,NA
4058572533,506455819,19.2433,20.6098,82659.7969,338.8,190,NA
4058572544,506430251,21.8389,28.9564,84599.3594,351.4722,292.625,NA
4058572565,506404396,10.383,59.7755,73530.5078,822.5,686.5714,NA
4058572625,506362270,19.6583,0.2207,59841.75,420.75,391,NA
4058572636,506415335,6.4972,114.8767,67515.7813,358.3889,297.3333,NA
4058573457,506826096,40.15,10.4795,232386.4219,416.4,364,NA
4058573480,507547330,47.9571,20.0245,467868.9063,339.7143,199.5,NA
4058573492,507541845,39.4182,116.4394,449858.4063,284.7273,316.8,NA
4058575127,508295706,165.6654,79.6014,674945.8125,656.2179,656.9333,NA
4058575145,508538141,255.5087,3.5913,576221.375,254.7826,206.4,NA
4058575229,508813976,402.4238,5.6745,719116.125,305.4524,206.5,NA
4058575344,508405104,352.0667,1.6932,461686,109.6667,58,NA
4058576039,509696525,237.8455,31.166,777084,267.6364,276.75,NA
4058576538,508721690,717.2489,2.0161,682602.9375,347.7234,298.8,NA
4058576627,508550619,360.3889,4.4345,895089.5625,149.5556,113.5,NA
4058576648,508879977,460.0478,5.3977,708545.9375,254.9565,258.6,NA
4058576668,508468512,219.5545,37.7455,666318.5625,160.1818,164.5,NA
4058576737,508581860,408.8966,2.4497,650703.5,349.2414,264.8333,NA
4058576746,508976500,419.1648,5.801,723112.9375,590.2676,358.3333,NA
4058576747,509059497,470.9115,10.1515,738046.375,296.3846,266.8333,NA
4058576836,508672714,514.538,7.4104,674144.6875,446.02,258,NA
4058579992,508668483,557.9481,0.9587,758678.75,578.4051,501.6154,NA
4058580050,508767592,312.1936,5.6577,657102.8125,499.2903,390.7778,NA
4058580117,508654243,204.9923,587.6719,640095.625,153,168.3333,NA
4058580350,508319438,303.925,3.4446,437034.4375,211,145.5,NA
4058583118,508539636,246.796,7.4353,625218.0625,215.8,216.6,NA
4058583178,508761078,536.7667,9.9052,702063.125,239,217.6,NA
4058583223,508649297,322.5533,11.9643,734052.1875,218.8667,236,NA
4058583275,508077190,180.4174,23.5173,684887.0625,299.3043,245.5,NA
4058591685,509145175,168.781,0.483,621389.0625,257.0952,136,NA
4058592569,507444172,52.5048,32.3226,404796.1875,211.3333,242.25,NA
4058596579,508919859,163.2957,42.1407,552741.3125,528.2143,512.5714,NA
4058596705,508454003,282.7741,7.8745,580810.75,255,298.2,NA
4058603530,507806777,127.2035,8.7333,519077.3125,450.5862,327.4444,NA
4058603549,507883679,173.1842,11.4995,531725.5,301.3158,244.6667,NA
4058605001,508939399,463.6286,4.9431,404850.8438,93,165,NA
4058605022,508091353,185.485,7.6318,431875.1875,255.6,242.2,NA
4058605085,508415881,190.35,4.1959,384972.75,69.5,110,NA
4058605172,507399863,38.3891,2.5744,186211.4688,807.3861,794.0714,NA
4058605229,508632661,235.95,80.4457,526731.75,357.5455,240.25,NA
4058605288,508767463,155.6459,3.0612,396006.6563,405.5946,400.2857,NA
4058606528,508883249,664.2385,0.3725,711643.4375,438.4615,240.25,NA
4058606609,508772126,314.4463,1.6714,662309.1875,840.6211,588.6923,NA
4058606646,509014035,520.6056,1.4304,724919.3125,523.1944,469.4444,NA
4058606805,508493850,252.5571,62.1764,621159.0625,234.7143,244.5,NA
4058610313,508109543,157.0304,141.3092,423683,314.2609,251.5714,NA
4058610320,508993597,407.9827,1.0401,502350.2188,773.4252,592.4167,NA
4058611047,509736582,204.1369,210.184,757836.3125,1116.025,1074.7083,NA
4058611053,509694907,209.5813,116.9149,769436.875,244.625,258.75,NA
4058616555,508546930,366.9821,1.9905,643368.9375,410.6923,355.8571,NA
4058616571,508730997,301.85,11.2692,635676.1875,434.9,298.6,NA
4058616678,508440180,242.9258,2.3006,609860.5625,845.5323,795.9412,NA
4058618541,508937033,432.3816,6.121,640554.75,727.699,494.75,NA
4058618640,508720226,283.5375,11.3876,593391.4375,304.2917,290.8333,NA
4058618702,508464159,324,3.1288,597469,365.15,372.3333,NA
4058619543,508267736,114.8923,7.5817,610604.75,363.0385,352.1667,NA
4058622428,506413835,41.34,16.9466,11529.2002,101.8,139.5,NA
4058624438,506562816,35.06,20.6733,84109.6016,76.2,82.5,NA
4058624518,506267882,9.9,18.0026,75828.3438,327,328.125,NA
4058624571,506314760,5.3577,13.8879,2296.2307,294.2692,216.7143,NA
4058624662,506244077,11.0318,22.2989,41384.2266,369,370.1,NA
4058625884,506612200,5.7214,34.7201,14236.9287,176.5,163.3333,NA
4058626646,508527428,312.0273,1.5173,627238,228,139,NA
4058626682,508431102,234.1182,4.2624,610512.375,390.1455,377.3333,NA
4058626721,509010338,493.4364,2.2956,723775.9375,222.0455,231.75,NA
4058626778,508510329,303.1293,29.387,636436.0625,434.4878,340,NA
4058626791,508897213,398.831,0.1524,698717.8125,321.0345,275,NA
4058626807,508438856,262.8,5.4398,817077.625,106.4,110,NA
4058626823,508928229,764.5153,0.5503,713216.4375,567.4306,475.875,NA
4058627924,508818468,308.2875,9.0521,669196.625,441.1607,291.5,NA
4058627952,508851876,500.15,3.0668,718971.875,218.7143,203,NA
4058628028,508831543,317.3462,30.3291,692624.875,352.6538,236.75,NA
4058628090,508373998,141.7414,761.6221,673785.5,346,313.625,NA
4058633425,506345803,27.4147,0.2601,17452.0938,696.2667,594.2667,NA
4058633488,506373663,18.5571,8.8843,39170.7148,163.0714,136,NA
4058633492,506438313,30.902,60.3754,73712.7344,955.5446,835.1176,NA
4058633524,506234462,11.8938,2.2959,37883.418,423.5625,405.2857,NA
4058633619,506403829,10.9286,59.585,74317.1406,303.2143,279.5,NA
4058633622,506425890,15.3182,7.2292,34733.9531,403.8182,292.5,NA
4058633695,506598133,26.205,8.7983,111346.0859,576.2833,575.0909,NA
4058634924,508236277,128.0625,1559.5432,644038.75,149.375,185.3333,NA
4058635017,508971379,411.6857,19.6279,727275.875,115.8571,114,NA
4058635049,509004520,387.7248,6.917,1075610.5,743.2481,471.1111,NA
4058635091,508930093,572.2737,1.7805,740040.5,289.3684,214.3333,NA
